raw_isolation_source,assembly_count
phyllosphere_metagenome_of_Oryza sativa,97
Cattle Hide,96
blood from patient with bacteremia,96
chicken manure swab,96
intestinal contents of pig,96
Human blood,95
broiler chickens,95
Chicken livers,94
chicken from wet market,94
10 mM sulfoquinovose-amended vegetarian human fecal microcosm,93
Sock sample,93
chicken wing,93
Poultry internal organs,92
human saliva,91
Avian,90
Pig tissue,90
rat gut metagenome,90
organ sample,89
Chicken neck cute,88
chicken thighs,88
aquaculture metagenome,87
cystic fibrosis patient,87
Chicken carcasses,86
Cystic fibrosis human lung,86
soda lake metagenome,86
SWAB_OTHER,85
Tissue sample,84
chick bedding sample/shipment liner from hatchery,84
Chicken Hearts,83
Pig stool,82
biofilter metagenome,82
CIPA,81
Chicken Livers,81
human-associated,81
ROAR,80
dairy cattle manure digester,80
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at salinity of 33.1 PSU,79
bioreactor sludge metagenome,78
permafrost metagenome,78
Screening sample,77
individual chicken cloaca,77
cow's milk,76
dairy cattle manure (Bos taurus),76
human faeces,76
Poultry [FOODON:00004298],75
chicken manure,75
Raw sheep milk,73
Chicken from supermarket,72
Human Feces,72
Surveillance swab,72
Frozen Chicken Shawrma,71
Frozen whole chicken carcasses,70
Rectal surveillance swabs,70
landfill metagenome,70
screening sample,70
feces of feedlot cattle,69
uncut heroin sample,69
cattle stool,68
human urine,68
pure cultures of bacteria,68
human carrier,67
cow milk,66
#REF!,65
Human sputum,65
table-egg layer chicken,65
Chicken feather,64
Patient (nasal),64
chicken wings,64
clinical or screening sample,64
feces cow,64
mine drainage metagenome,64
patient sample,64
Animal-Sheep-Lamb,63
BK,63
ESBA,63
O,63
Pig feces,63
human faecal samples,63
plastisphere metagenome,63
urine metagenome,63
missing: control sample,62
non-organic retail chicken,62
sand metagenome,62
Biological sample,61
Chicken Gizzards,60
Poultry shed,60
homo sapiens,60
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at surface of the water column (depth of 5 m),59
derived from human gut metagenome,59
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at depth of 20m,58
Young Chicken,58
not available: not collected,58
Chicken gizzards,57
Whole Chicken,57
asymptomatic patient,57
epibiont metagenome,57
pig fecal swab,57
"""dairy cattle manure, Bos taurus""",56
Frozen chicken,56
Retail Poultry,56
Chicken environment,55
poultry house overshoe (Gallus gallus domesticus),55
chicken salad,54
diseased pig,54
"pool of bioreactors CSTR01a, CSTR02a, and CSTR03a; thermophilic anaerobic digestion of cattle manure in continuous reactors for biogas production (methane)",54
chicken cloacal swab,53
chicken giblets,53
BLOOD_OTHER,52
SURVEILLANCE SWAB,52
Swine manure pit,52
algae metagenome,52
fecal sample from patient with Hemolytic Uremic Syndrome,52
Broiler chickens,51
Chicken giblets (CG-1),51
SIP-labeled bacteria involved in mucosal sugar uptake in the mouse colon,51
Chicken gizzard,50
Unknown/Unspecified,50
microbial community enriched from coastal seawater on fucoidan from Fucus vesiculosus,50
Swine body,49
Chicken Mixed Parts,48
Human isolate,48
Pooled sheep fecal samples collected from floor of farm,48
feedlot cattle feces,48
Chicken Giblets,47
Chicken Wing,47
mucosal tissue from Crohns disease patient,47
"Abattoir, chicken",46
Animal-Sheep-Mature Sheep,46
Bacteria,46
Blood sample from septic human participant,46
Chicken embryo,46
"Human, Faeces",46
turkey fluff,46
Foodstuff sample,45
Human Sample,45
human beard,45
Poultry slaugherhouse B,44
feral swine feces,44
screening other than rectal,44
Chicken (Retail),43
chicken embryo,43
human saliva metagenome,43
riverine metagenome,43
swine feces,43
Animal-Cattle-Dairy Cow (lymph node),42
Diabetic Foot Sample,42
Other Source,42
perioperative sample,42
Chicken samples,41
colonic content of eviscerated cattle,41
cow feces,41
human blood culture,41
CHICKEN GIZZARD,40
Dairy Cattle,40
"Fattening pig, feces",40
Human Endothlial cell line,40
Human Listeriosis,40
cow paddock straw bedding bovine dairy,40
patient fluids,40
whole chicken,40
Chicken Giblet,39
Healthy dairy cow (Bos taurus),39
biological sample,39
dairy cow feces,39
mik sample,39
Gill chamber Rimicaris exoculata metagenome,38
cow veal calf,38
feces (cloacal swab/caeca) from domestic chicken,38
Animal-Swine-Feces,37
honeybee metagenome,37
human vaginal swab,37
metagenomic assembly,37
screening swab,37
Active screening,36
Chicken legs,36
Commercial Turkey Barn,36
Human fecal samples,36
MAG reconstructed from a metagenome collected in the Canada Basin (Arctic Ocean) at 10m above the bottom of the water column,36
Patient sample,36
bacteria culture,36
in vitro culture,36
sheep feces,36
Chicken hearts,35
Cow Feces,35
"cattle feces, cows",35
chicken (food),35
sputum of adult cystic fibrosis patient,35
Animal,34
Aqueous Sample,34
Chicken giblets (CH-1),34
In vitro clone,34
Poultry slaugherhouse A,34
chicken gizzard,34
chicken hearts,34
cow dung,34
diarrhea sample from child under the age of five,34
restricted access,34
frozen chicken,33
"nd/other, chronic",33
Chicken ceacum,32
Poultry faeces,32
human body,32
human lung transplant,32
infant,32
not determined,32
organic retail chicken,32
swine facility,32
Chicken giblets (CH-2),31
Human Intestine,31
Screening anal/rectal/stool,31
Young Turkey,31
feces pig,31
pig feaces,31
Livestock swine,30
chicken stool,30
human stool samples,30
pasteurized chicken sausage,30
pristine subarctic bottom sample MJ-AV4H2-BSW-47m1,30
sputum from cystic fibrosis patient,30
Chicken Thigh,29
Chicken intestine,29
drag swab poultry,29
"nd/other, acute",29
sputum from CF patient,29
Chicken (Farm),28
Cow feces,28
OTHERS,28
"Sheep, milk",28
Tear sample,28
Tuberculosis Patient,28
chicken gizzards,28
chicken paper,28
feces; 1 single-cell amplified by MDA combined with human gut metagenome reads,28
human feces in bioreactor,28
packaged chicken,28
ANIMAL-chicken,27
Chicken (Abattoir),27
Chicken&Duck,27
Fecal samples of broiler chickens,27
OTHER_SAMPLE,27
chicken piece,27
de-identified patient sample,27
feces from asymptomatic of infected patient,27
packaged turkey,27
peat metagenome,27
plant metagenome,27
pond metagenome,27
Food-chicken,26
Human Blood,26
In vitro,26
Pig faeces,26
Poultry slaughterhouse C,26
assembly,26
fecal sample from patient with diarrhea,26
Chicken carcasse,25
Cystic Fibrosis human lung,25
Human Blood culture,25
Human-associated habitat,25
Patient Bed Zone,25
Patient with decompensated cirrhosis at Hannover Medical School,25
Pig embryo,25
Pre-slaughter chicken,25
chicken waste,25
cow udder,25
frozen poultry from supermarket in South Africa,25
"human, blood",25
Chicken drumsticks,24
Other(Respiratory specimens),24
Poultry production system,24
Young Chickens,24
[ENVO:00000446],24
clinically healthy pig,24
CHICKEN BREASTS,23
Chicken - Mixed Parts,23
Chicken eggs,23
Patient (oral rinse),23
Poultry vendoors and farms,23
chicken droppings,23
cow calf,23
decomposition metagenome,23
human blood monocytes,23
human milk,23
non-axenic (unialgal) sample in BG-11 medium,23
oil reservoir sample SB1,23
pig manure,23
screening_other_than_rectal,23
Grass with Chicken Manure,22
Human (feces),22
Pig (baby) - fecal,22
Poultry litter,22
Poultry rinsate,22
chicken (Sonali breed),22
chicken drumsticks,22
feces market swine,22
lake microbial community,22
porcine pig intestine,22
poultry soil,22
Chicken gizzard (giblets),21
Chicken wing,21
Pure bacteria culture,21
feces; 3 single-cells amplified by MDA combined with human gut metagenome reads,21
other animal,21
sheep meat,21
steer feces,21
Cattle,20
Chicken ecal dropping,20
Patient-hands,20
Screening swabs (oropharynx/nasopharynx/rectum),20
in vitro,20
pig faeces,20
poultry feed,20
(blank),19
CHICKEN THIGHS,19
CHICKEN WINGS,19
Carriage sample,19
Cattle cowdung,19
Dog,19
Genital tract sample,19
Homo-sapien,19
Human saliva,19
Human vaginal,19
"Human, Feces",19
Market Swine,19
Other (unknown),19
Product-Rinse-Other Poultry,19
chicken field feces,19
finished chicken,19
human skin metagenome,19
"human, missing",19
Abdominal cavity sample,18
Animal-Cattle-Bull,18
Carrier pig,18
Chicken Ileum,18
Diarrheal patient,18
"Human, Blood culture",18
Patient Blood,18
Poultry production settings,18
Retail Chicken,18
Swine Biome,18
chicken house,18
raw sheep milk,18
tonsil from Healthy pig in slaughterhouse,18
turkey sandwich,18
MES reactor inoculated with Red Sea brine pool sample,17
Stool from hospitalized human,17
bovine cow intestine,17
chicken carcacess,17
cold seep metagenome,17
estuary metagenome,17
feces young chicken,17
fermented cow milk,17
human-associated biome,17
in vitro selection with PHMB,17
Aqueous sample from salinity gradient,16
Chicken chicken gizzard,16
Chicken-Mixed Parts,16
Fly,16
Human colonisation,16
Human patient,16
Lab-grown breviate-bacteria community,16
chicken salad sandwich,16
feces dairy cow (Bos taurus),16
feces heifer,16
human WBC H3K27me3,16
milk bovine cow,16
other discharge,16
poultry manure (Gallus gallus domesticus),16
produce near cattle,16
skin of face; 6 single-cells amplified by MDA combined with human skin metagenome reads,16
Animal-Swine-Roaster Swine,15
Chicken,15
Chicken hearts (giblets),15
Chicken livers (giblets),15
Cow milk,15
Human sputum sample,15
Patient sputum,15
Pig carcasses,15
Pig production settings,15
Poultry/Soil,15
Surveillance Swab,15
Whole-genome,15
chicken intestinal concent,15
cloaca of chicken,15
cow manure,15
crustacean metagenome,15
human cell line,15
other isolate,15
pooled poultry feces,15
swine fecal,15
CHICKEN LIVERS,14
Chicken Chicken Gizzard,14
Infected Human Urine,14
Lobaria metagenome,14
Other sample,14
Poultry Litter,14
Poultry drinking water,14
SCREENING,14
Turkey Patties,14
cattle egret,14
chicken egg,14
chicken litter digestates,14
sputum of child cystic fibrosis patient,14
"turkey, faecal samples",14
Breeder chickens,13
Cattle faecal sample,13
Cattle fecal sample,13
Chicken Drumsticks,13
Chicken Mixed parts,13
Chicken giblets (CG-2),13
Chicken gizzards and hearts,13
Cystic fibrosis patient,13
JD_chickens,13
Poultry (Meat),13
Poultry barn,13
Poultry offal,13
Retail Chicken Carcasse,13
Retail Turkey,13
Swine feces,13
Unknown Specimen Type,13
blood from critically ill patient,13
bovine (Bos taurus),13
chicken legs,13
chicken livers,13
chicken sandwich,13
chicken wing (Gallus gallus),13
feces young turkey,13
frozen whole chicken carcasses,13
microbial eukaryotic metagenome,13
porcine pig intestine small,13
poultry slaughterhouse,13
Bovine,12
Chicken chicken wings,12
Chicken litter,12
Fish (Salmon),12
Homo sapiens faeces,12
Human stool samples,12
Isolated from feces from dairy cow,12
OTHER_CLIN,12
Other body fluids,12
Tonsil pig,12
bovine cow intestine small,12
in vitro adaptation,12
in vitro phage -resistant clone,12
lungs of cystic fibrosis patient A,12
patient fecal,12
poultry chicken,12
purulent sample,12
tissue sample from feedlot cattle,12
Bovine (Fecal),11
Chicken (Diagnostic),11
Chicken Nuggets,11
Chicken breeding farms,11
Chicken thigh,11
Human faecal,11
Human monocyte-derived macrophages,11
INT: Other,11
Kge_cow_field,11
Other animal,11
Pig (sow) - fecal,11
Pig anus swab,11
Product-Other/Miscellaneous-Chicken,11
a feces sample of swine origin,11
chicken slaughter chill tank (Gallus gallus),11
frozen poultry shipment from Brazil sampled at South African port of entry,11
human melanoma,11
oil reservoir sample SB2,11
patient blood culture samples,11
poultry drag swab,11
sheep ground meat,11
swine sausage,11
Albertan feedlot cattle,10
Animal-Cattle-Beef Cow (lymph node),10
Animal-Cattle-Heifer (lymph node),10
Animal-Swine-Meat,10
Chicken - Whole cut in lab,10
Domestic pig,10
Foregut Rimicaris exoculata metagenome,10
GIST882 Human GIST Cells,10
Homo Sapiens,10
Human Eyes,10
Human Urine,10
Human fecal sample,10
Human healthy carriers,10
"Human, Fluids",10
Marinated chicken,10
Nonmeat-Other,10
Patient's blood,10
Poultry faecal material,10
"Product-RTE-Other Fully Cooked, Not Sliced-Pork",10
Restricted access,10
Stewed chicken,10
"Swine, Livestock",10
bovine cow uterus,10
"cattle feces, juveniles",10
chicken house front,10
cow cheese,10
drinking water metagenome,10
dust sample,10
fecal sample from diarrhoea affected cattle B,10
lungs of cystic fibrosis patient C,10
mangrove metagenome,10
patient blood,10
patient specimen,10
pig feed,10
"pig, feces",10
poultry shed,10
sheep ovine,10
skin of face; 1 single-cell amplified by MDA combined with human skin metagenome reads,10
termite gut metagenome,10
turkey swiss sandwich,10
Animal - Chicken,9
Animal-Cattle-Steer (lymph node),9
Animal-Poultry-Feces,9
Aqueous sample under salinity gradient,9
Bovine (Meat),9
Cattle/Soil,9
Chicken (meat),9
Chicken Chicken Thigh,9
Chicken Food,9
Chicken shed overboot,9
Collected from patient during rainy season,9
Grass with Cow Manure,9
Guinea Pig,9
Heifer shed 1 (older cows),9
"Human, Other",9
Patient-AC fossae,9
Swine manure,9
Turkey salad (in-store),9
Whole chicken,9
[ENVO:00000428],9
"animal feed, other",9
bacteria were purified from Symbiodinium sp. co-cultures originally isolated from Mussismilia braziliensis coral,9
bakery environment assembly production room,9
chicken chicken gizzard,9
chicken feed,9
chicken giblet,9
chicken house back,9
chicken intestine,9
chicken water,9
egg poultry,9
fecal pasture close to dairy cow,9
feces cattle,9
feces; 2 single-cells amplified by MDA combined with human gut metagenome reads,9
invertebrate metagenome,9
live pig swab,9
oil reservoir sample K2,9
oil reservoir sample K3,9
pig slaughterhouse,9
pig slaughterhouse wastewater,9
stool specimen from a Guillain-Barre syndrome patient,9
"""Product-Raw-Intact-Siluriformes\, Other""",8
Aqueous sample,8
CHICKEN GIZZARDS,8
CHICKEN LEGS,8
Chicken (Processing),8
Chicken Faeces,8
Chicken Whole-Cut In Lab,8
Chicken Whole-Cut In The Lab,8
Chicken chicken thighs,8
Chicken rince,8
Chicken sausage,8
Companion Animal,8
Dairy cow feces,8
Diseased pig,8
Duodenal mucosa of Celiac disease patient,8
Human Stools,8
Human monocytes,8
Midgut Rimicaris exoculata metagenome,8
Mutant screening,8
Other (pus),8
Other clinic,8
Patient: associated with 2001 almond outbreak,8
Pooled soil sample collected from floor of sheep farm,8
Poultry egg,8
Poultry feces,8
Product-RTE-Other/Miscellaneous-Pork,8
Sputum from patient,8
Stool from healthy human,8
Surgical sample,8
animal feed chicken,8
cattle feed,8
chicken house middle,8
chicken kiev,8
ciliate metagenome,8
dairy cow feces (Bos taurus),8
fecal sample from diarrhoea affected cattle A,8
genomic assembly,8
human pharyngeal swab,8
mastitic cow,8
pig fecal,8
stool from MSM patient,8
swine feed,8
swine salami,8
unavailable,8
undifferentiated human embryonic stem cells,8
"Avian, Poultry",7
Broiler_chickens,7
Chicken Feces,7
Chicken Giblets (Gizzards),7
Chicken fecal,7
Chicken gizzards (giblets),7
Faecal surveillance,7
Grount Turkey,7
Guinea pig,7
Human monocyte-derived dendritic cells,7
"Human, Urine",7
Human-Blood,7
In vitro culture,7
Kge cow field,7
Model bacteria,7
Other (bile),7
Other Animal,7
Other source,7
Other sterile body fluids,7
Other wild birds (partridges),7
"Pig ears, dog chew",7
Poultry (Fecal),7
Poultry manure,7
Poultry organ,7
"Product-RTE-Other Fully Cooked, Not Sliced-Chicken",7
Semen sample,7
Sheep faeces,7
Sheep/Soil,7
Slaughterhouse pig,7
Sputum of Homo sapiens,7
Surfaces surveillance,7
Swine lagoon,7
Symptomatic leaf sample,7
biofilm; non-axenic culture containing Capilliphycus salinus and associated bacteria,7
blackbone chicken,7
boneless chicken,7
bovine cow lung,7
cattle barrier,7
chicken cage cleaning,7
chicken dung,7
chicken paper (Gallus gallus domesticus),7
cloaca swab from retail chicken,7
copper fed pig,7
feces; 4 single-cells amplified by MDA combined with human gut metagenome reads,7
food animal chicken,7
healthy cow feces,7
"human, feces",7
lagoon metagenome,7
other source,7
poultry flock,7
surveillance culture: swab,7
surveillance swab,7
unknown insects from Prunus persica,7
CHICKEN GIZZARD (GIBLETS),6
Cattle/Water,6
Chicken Coop,6
Chicken Giblets (Liver),6
Chicken House Swab,6
Chicken Salad,6
Chicken ceca,6
Chicken coup,6
Chicken feed,6
Chicken giblets (CH-3),6
Chicken nuggets,6
Cleaned poultry house,6
Cow milk from bulk tank,6
High-touch surfaces - Patient area B06,6
Human microbiome,6
Human-associated environment,6
Human_physical,6
Index patient,6
Metagenomic assembly,6
Other (catheter),6
Other (drainage),6
Other (sputum),6
Other (tube),6
Other specimen,6
Patient 2,6
Patient ulcer,6
Patient-ankles/SCD,6
Patient-perirectal,6
Pet Treats: Chicken snaps,6
Pig manure,6
"Product-RTE-Other Fully Cooked, Not Sliced-Other Poultry",6
"Product-RTE-Other Fully Cooked, Sliced-Pork",6
Ready-to-cook chicken cutlets,6
Retail chicken livers,6
Retailed Chicken,6
SWINE INTESTINE,6
Screening swab (nose),6
Subgingival sample,6
a feces sample of chicken origin,6
broccoli and cheese stuffed chicken,6
cattle blood,6
cattle slurry,6
chicken (Gallus gallus),6
chicken cordon bleu,6
chicken intestinal contents,6
chicken meal,6
cow manure scat soil,6
feces chicken house,6
gastric sample,6
ham turkey pimento cheese sandwich,6
human prostate cancer LN-CaP cell line,6
human vaginal metagenome,6
hydrocarbon metagenome,6
live poultry marketplace,6
lungs of cystic fibrosis patient B,6
missingsal cavity,6
natural fermented cow's milk,6
not reported,6
patient sputum,6
pig intestine,6
poultry flock breeder (Gallus gallus),6
poultry house fecal,6
sheep milk cheese,6
sour cow milk,6
sporadic listeriosis case,6
steer,6
stool sample from patient with hemolytic uremic syndrome (HUS),6
swine manure,6
vent chimney & chimney structure from marine hydrothermal vent. Sample name is IPdc08.,6
"Animal, pig feces",5
Antibiotic Resistance Surveillance Program,5
Bacteraemia patient,5
Cattle hide,5
Chicken Anal swab,5
Chicken Egg shell,5
Chicken Wings (Gallus gallus),5
Cladonia metagenome,5
Dairy cattle,5
Deep tissue sample,5
Fresh Chicken,5
Grass with Pig Manure,5
Grouund Turkey,5
High-touch surfaces - Patient area B02,5
Human tissue,5
"Human, stool",5
Human-Sporadic,5
MRSA screen - other site/specimen,5
Oceanic sample,5
Other (CVC),5
Other material,5
Patient blood,5
Patient stools,5
Pelleted chicken food,5
Pig specific (nasal swab),5
Screening Swab,5
Snow sample,5
Tree sample,5
"Turkey hen, feces",5
UNK,5
Unknown animal source,5
animal feed cattle,5
animal feed poultry,5
animal feed turkey,5
blood sample of melioidosis patient,5
chicken alfredo,5
chicken dirty pool tissue,5
chicken house litter,5
chicken mixed part,5
chicken mixed parts,5
chicken whole cut,5
cow paddock straw bedding bovine steer,5
diarrheal patient,5
effluent from poultry environment,5
fecal sample of diarrhea patient,5
feces chicken house back,5
feces chicken house middle,5
healthy cattle faeces,5
human sample,5
in vitro mutant of the strain KE5351,5
in vitro mutant of the strain MUH-1,5
lungs of sick pig,5
male,5
microbiological sample,5
no data,5
patient environment,5
patient tissue,5
porcine pig jejunum,5
