raw_host,final_is_approved,final_host,final_confidence,rule_type,reviewer_note
Meenoplinae sp.,TRUE,Meenoplinae,medium,broad_host,Finalized by reviewer batch 4
Melobium obcordatum,TRUE,Melobium obcordatum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Mephitiade sp.,TRUE,Mephitidae,medium,broad_host,Finalized by reviewer batch 4
Merlot sp.,TRUE,Vitis vinifera,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
mexican lime,TRUE,Citrus aurantiifolia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Microxistyla sp.,TRUE,Microxistyla,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Mineral hydromagnesite,FALSE,,high,non_host_source,Finalized by reviewer batch 4
"Myrtea sp. ""scaly one"" KF741663",TRUE,Myrtea,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Myxilla sp. 4,TRUE,Myxilla,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Neotyphloceras sp.,TRUE,Neotyphloceras,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Nephrolepsis exaltata,TRUE,Nephrolepis exaltata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
NewZealand rabbits,TRUE,Oryctolagus cuniculus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Nightshade (Solanum nigrum),TRUE,Solanum nigrum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Nippon ibis,TRUE,Nipponia nippon,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
olive knot (Olea europaea),TRUE,Olea europaea,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Onchorhynchus apache,TRUE,Oncorhynchus apache,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Orizae sativa L.,TRUE,Oryza sativa,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Ornithdoros turicata,TRUE,Ornithodoros turicata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Ornithdoros turicatae,TRUE,Ornithodoros turicata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Others -Heterodon platrhinos,TRUE,Heterodon platirhinos,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Others -Oxycirrhites typus,TRUE,Oxycirrhites typus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Otis tarde,TRUE,Otis tarda,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Pallasiomys meridianus,TRUE,Meriones meridianus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Parachiridia subirrorata,TRUE,Parachiridia subirrorata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Paradoxopsyllus scorodumovi,TRUE,Paradoxopsyllus scorodumovi,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Paramyelois transitella,TRUE,Paramyelois transitella,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Passerculus sandwichensis beldingi,TRUE,Passerculus sandwichensis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
pasture gramineae,TRUE,Poaceae,medium,broad_host,Finalized by reviewer batch 4
Peanuts (Arachis hypogea L.),TRUE,Arachis hypogaea,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Pelicanus rufescens,TRUE,Pelecanus rufescens,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Penares incrustans,TRUE,Penares incrustans,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Phaecochoerus aethipicus,TRUE,Phacochoerus aethiopicus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Phgllotreta striolaea,TRUE,Phyllotreta striolata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Photos sp.,TRUE,Pothos,medium-low,exact_or_genus_taxon,Finalized by reviewer batch 4
Phyllanthus urinaria L,TRUE,Phyllanthus urinaria,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Phyton sp.,TRUE,Python,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Picochloruma sp. 122,TRUE,Picochlorum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Pinot Noir,TRUE,Vitis vinifera,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Planarians flatworm,TRUE,Tricladida,medium,broad_host,Finalized by reviewer batch 4
Plantanus sp.,TRUE,Platanus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Polyalae radix,TRUE,Polygala,medium,broad_host,Finalized by reviewer batch 4
Polychachis laevissima,TRUE,Polyrhachis laevissima,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Polyrhachis (Hedomyrma) turneri,TRUE,Polyrhachis turneri,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Porities sp.,TRUE,Porites,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Porphyrae yezoensis (red alga),TRUE,Porphyra yezoensis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Psychotria schumanniana,TRUE,Psychotria schumanniana,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Pullet carpet shell,TRUE,Veneridae,medium,broad_host,Finalized by reviewer batch 4
putative tunicate,TRUE,Tunicata,medium,broad_host,Finalized by reviewer batch 4
red cocoyam,TRUE,Araceae,medium,broad_host,Finalized by reviewer batch 4
red marine alga,TRUE,Rhodophyta,medium,broad_host,Finalized by reviewer batch 4
Rheum palmatum L.,TRUE,Rheum palmatum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Rhizoma kaempferiae,TRUE,Kaempferia galanga,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Rhynchosia ferulifolia,TRUE,Rhynchosia ferulifolia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Rhynchosia totta,TRUE,Rhynchosia totta,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Rhynchosiae phaseoloides,TRUE,Rhynchosia phaseoloides,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Ridgea piscesae,TRUE,Ridgeia piscesae,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
roe buck,TRUE,Capreolus capreolus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Rostrolucina anterorostrata,TRUE,Rostrolucina anterorostrata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Rubus caesius (transferred with Cuscuta europaea),TRUE,Rubus caesius,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
ruby grapefruit,TRUE,Citrus paradisi,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Russian Sage,TRUE,Perovskia atriplicifolia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Salp sp.,TRUE,Salpidae,medium,broad_host,Finalized by reviewer batch 4
Saurania reinwardti,TRUE,Saurauia reinwardtiana,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Schizaphis graminum biotype I,TRUE,Schizaphis graminum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Scleritoderma cyanea,TRUE,Scleritoderma cyanea,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Scomber japonicus peruanus,TRUE,Scomber japonicus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Sebdenia dichotoma,TRUE,Sebdenia dichotoma,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
sesame seedling,TRUE,Sesamum indicum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Sevilla affinis,TRUE,Sevilla affinis,medium-low,exact_or_genus_taxon,Finalized by reviewer batch 4
Siberian jerboa (Allactagasibirica),TRUE,Allactaga sibirica,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
silk worm litter,FALSE,,high,non_host_source,Finalized by reviewer batch 4
Sinapsis avensis,TRUE,Sinapis arvensis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
slime mold,TRUE,slime mold,medium,broad_host,Finalized by reviewer batch 4
small cardamom,TRUE,Elettaria cardamomum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
smooth vetch,TRUE,Vicia villosa,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
South american tapirus terrestris,TRUE,Tapirus terrestris,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Spheciospongia confoederata,TRUE,Spheciospongia confoederata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Spirastrella abata,TRUE,Spirastrella abata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
spotted hyena,TRUE,Crocuta crocuta,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
sprouted soy,TRUE,Glycine max,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Steirnernema unicornum,TRUE,Steinernema unicornum,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Stiralius aporus rectodigitus,TRUE,Stiralius aporus,medium-low,exact_or_genus_taxon,Finalized by reviewer batch 4
Streptomyes sp.HNM0140,FALSE,,high,non_host_source,Finalized by reviewer batch 4
string beans,TRUE,Phaseolus vulgaris,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
sugar cane YZ08-1095,TRUE,Saccharum,medium,broad_host,Finalized by reviewer batch 4
Sula nebouxi,TRUE,Sula nebouxii,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
tenophyllus hirticrus,TRUE,Tenophyllus hirticrus,medium-low,exact_or_genus_taxon,Finalized by reviewer batch 4
Tetragonula biroi,TRUE,Tetragonula biroi,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Thai silk cocoon,TRUE,Bombyx mori,medium,broad_host,Finalized by reviewer batch 4
Thalictrum simplex L,TRUE,Thalictrum simplex,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Thamnidium elegans WA0000018081,TRUE,Thamnidium elegans,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Tichocarpus crinitus (red alga),TRUE,Tichocarpus crinitus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Tinamu major,TRUE,Tinamus major,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Trachemys scripta callirostris,TRUE,Trachemys scripta,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Trichonympha paraspiralis,TRUE,Trichonympha paraspiralis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Troendleina suluensis,TRUE,Troendleina suluensis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Tryonyx sinensis (Chinese soft-shell turtle),TRUE,Pelodiscus sinensis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
tubeworm trophosome,TRUE,Annelida,medium,broad_host,Finalized by reviewer batch 4
Turbinaria peltata (coral),TRUE,Turbinaria peltata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
uncultured Alphaproteobacteria bacterium,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Bacteroides sp.,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Bifidobacterium sp.,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Porphyromonadaceae bacterium,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Prevotella sp.,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Prevotellaceae bacterium,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Ruminococcaceae bacterium,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Ruminococcus sp.,FALSE,,high,non_host_source,Finalized by reviewer batch 4
uncultured Sutterella sp.,FALSE,,high,non_host_source,Finalized by reviewer batch 4
Ursidae sp.,TRUE,Ursidae,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Ustalcina ferruginea,TRUE,Ustalcina ferruginea,medium-low,exact_or_genus_taxon,Finalized by reviewer batch 4
Verdot sp.,TRUE,Vitis vinifera,medium-low,exact_or_genus_taxon,Finalized by reviewer batch 4
Vibernum davidii,TRUE,Viburnum davidii,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
weaned Rex rabbits,TRUE,Oryctolagus cuniculus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Westrigia fruticosa,TRUE,Westringia fruticosa,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
white bream,TRUE,fish,medium,broad_host,Finalized by reviewer batch 4
white elm,TRUE,Ulmus americana,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
white pelican,TRUE,Pelecanus,medium,broad_host,Finalized by reviewer batch 4
White radish,TRUE,Raphanus sativus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
whole panna microdon,TRUE,Panna microdon,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
wild chukar,TRUE,Alectoris chukar,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
wild orchid,TRUE,Orchidaceae,medium,broad_host,Finalized by reviewer batch 4
wild rabbits,TRUE,Oryctolagus cuniculus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Winterberry holly,TRUE,Ilex verticillata,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Wohrlfartia sp.,TRUE,Wohlfahrtia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Xestospongia sp. SYM12 (sponge),TRUE,Xestospongia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Xestosponiga sp. QYP07 (sponge),TRUE,Xestospongia,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Xinjiang nor,FALSE,,high,non_host_source,Finalized by reviewer batch 4
yellow legged gulls,TRUE,Larus michahellis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
yellowfin seabream,TRUE,Acanthopagrus latus,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Zhihong Ren,FALSE,,high,non_host_source,Finalized by reviewer batch 4
Ziziphus mauritiana Lam,TRUE,Ziziphus mauritiana,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
Zostera chilensis,TRUE,Zostera chilensis,medium,exact_or_genus_taxon,Finalized by reviewer batch 4
