raw_host,final_is_approved,rule_type,final_host,final_taxid,final_confidence,reviewer_note
uncultured Lachnospiraceae bacterium,FALSE,non_host_source,,,,microbial taxon in host field
Valerianella locusta (L.) Laterr.,TRUE,exact_host,Valerianella locusta,,medium,authority removed
Waltherarndtia caliculatum,TRUE,exact_host,Waltherarndtia caliculata,,medium,gender normalized if taxonomy validates
zoanthid Palythoa caribaeorum,TRUE,exact_host,Palythoa caribaeorum,,medium,descriptor removed
Abyssinian ground hornbill,TRUE,exact_host,Bucorvus abyssinicus,,medium,common name normalized
Acanthaphora specifera,TRUE,exact_host,Acanthophora spicifera,,medium,spelling normalized
Acanthococcus aceris,TRUE,exact_host,Acanthococcus aceris,,medium,insect species
Achillia millefolium,TRUE,exact_host,Achillea millefolium,,medium,spelling normalized
Actinomyces sp. strain F0337,FALSE,non_host_source,,,,bacterial taxon in host field
Adelaide Rosella,TRUE,exact_host,Platycercus,,medium,common name conservatively mapped to genus
African spoonbiil,TRUE,exact_host,Platalea alba,,medium,common name spelling normalized
Akashiwo sangruia,TRUE,exact_host,Akashiwo sanguinea,,medium,spelling normalized
Alydus tomentosus,TRUE,exact_host,Alydus tomentosus,,medium,insect species
Amata sperbius,TRUE,exact_host,Amata sperbius,,medium,insect species
Amitermes hastatus,TRUE,exact_host,Amitermes hastatus,,medium,termite species
Amphiblestrum auritum,TRUE,exact_host,Amphiblestrum auritum,,medium,bryozoan species
Anaerameoba flamelloides Busselton2,TRUE,exact_host,Anaeramoeba flamelloides,,medium,suffix removed and spelling normalized
Ananeramoeba flamelloides Schooner1,TRUE,exact_host,Anaeramoeba flamelloides,,medium,suffix removed and spelling normalized
Anastrepha ludens black pupae (BP) Genetic sexing strain Guatemala-10 (aka Family 10),TRUE,exact_host,Anastrepha ludens,,medium,life-stage and strain removed
Anoecia oenotherae,TRUE,exact_host,Anoecia oenotherae,,medium,insect species
Anopheles gambiae G3 strain (malaria mosquito),TRUE,exact_host,Anopheles gambiae,,medium,strain and descriptor removed
Anopheline albitarsis,TRUE,exact_host,Anopheles albitarsis,,medium,label normalized
Aplysina fulva (marine sponge),TRUE,exact_host,Aplysina fulva,,medium,parenthetical removed
aquatic mosses,TRUE,broad_host,Bryophyta,,medium,broad moss host
Aquatic products,FALSE,non_host_source,,,,commodity source
arctic char,TRUE,exact_host,Salvelinus alpinus,,medium,common name normalized
Arctium lappa L.,TRUE,exact_host,Arctium lappa,,medium,authority removed
Arthrocaulon sp.,TRUE,exact_host,Arthrocaulon,,medium,genus-level sp label
Asteriscus sp.,TRUE,exact_host,Asteriscus,,medium,genus-level sp label
Athyrium wallichianum Ching,TRUE,exact_host,Athyrium wallichianum,,medium,authority removed
Aulonothroscus sp. AUS03,TRUE,exact_host,Aulonothroscus,,medium,suffix removed
Axinellida sp. (marine sponge),TRUE,broad_host,Axinellida,,medium,broad sponge order
Basunti mas,FALSE,ignore,,,,vernacular fish label too ambiguous
Bembidion lapponicum OSAC:DRMaddison DNA3974,TRUE,exact_host,Bembidion lapponicum,,medium,voucher removed
Bembidion nr. transversale OSAC:DRMaddison DNA3205,TRUE,exact_host,Bembidion transversale,,medium,near and voucher text removed cautiously
Blandfordimys juldaschi carruthersi,TRUE,exact_host,Blandfordimys juldaschi,,medium,subspecies collapsed
Bonamia sp.,TRUE,exact_host,Bonamia,,medium,genus-level sp label
Boraras naevus,TRUE,exact_host,Boraras naevus,,medium,fish species
Borellia bruneri,TRUE,exact_host,Borellia bruneri,,medium,submitted taxonomy candidate
Bradysia coprophila Holo2,TRUE,exact_host,Bradysia coprophila,,medium,line suffix removed
Branta canadensis parvipes,TRUE,exact_host,Branta canadensis,,medium,subspecies collapsed
Brasillia sp.,FALSE,ignore,,,,unsafe ambiguous genus label
Bryobia graminum,TRUE,exact_host,Bryobia graminum,,medium,mite species
Buahinia variegata,TRUE,exact_host,Bauhinia variegata,,medium,spelling normalized
Callysponga elegans,TRUE,exact_host,Callysponga elegans,,medium,sponge species
Calytrix glaberrima,TRUE,exact_host,Calytrix glaberrima,,medium,plant species
Camponotus (Colobopsis) obliquus,TRUE,exact_host,Camponotus obliquus,,medium,subgenus removed
Camponotus pennsylvanicus Antoinette #7,TRUE,exact_host,Camponotus pennsylvanicus,,medium,colony suffix removed
Canarium ovatum Engl.,TRUE,exact_host,Canarium ovatum,,medium,authority removed
Canthopagrus schlegeli,TRUE,exact_host,Acanthopagrus schlegelii,,medium,accepted fish name
capercailie grouse,TRUE,exact_host,Tetrao urogallus,,medium,common name normalized
Centroscyllium fabricii (deep sea shark),TRUE,exact_host,Centroscyllium fabricii,,medium,parenthetical removed
Ceratitis capitata Genetic Sexing Strain (GSS) strain Vienna 8 (D53-)/Toliman 99,TRUE,exact_host,Ceratitis capitata,,medium,strain text removed
Ceratitis capitata line Ccap10.3,TRUE,exact_host,Ceratitis capitata,,medium,line text removed
Cervus nippon mandarinus,TRUE,exact_host,Cervus nippon,,medium,subspecies collapsed
Chaenophryne sp.,TRUE,exact_host,Chaenophryne,,medium,genus-level sp label
Chaeonophryne sp.,TRUE,exact_host,Chaenophryne,,medium,spelling normalized
Chamaecytisus albus,TRUE,exact_host,Chamaecytisus albus,,medium,plant species
Chambourcin sp.,TRUE,exact_host,Vitis,,medium,cultivar mapped to genus
Chinese chive,TRUE,exact_host,Allium tuberosum,,medium,common name normalized
Chinese chives,TRUE,exact_host,Allium tuberosum,,medium,common name normalized
chinese okra,TRUE,exact_host,Luffa acutangula,,medium,common name normalized
Chinese silvergrass,TRUE,exact_host,Miscanthus sinensis,,medium,common name normalized
Chrysomya megacephala (blowfly),TRUE,exact_host,Chrysomya megacephala,,medium,parenthetical removed
Cicadidae sp. C,TRUE,exact_host,Cicadidae,,medium,family-level candidate
Citellus fulvus,TRUE,exact_host,Citellus fulvus,,medium,synonym-resolvable label
Class Hexactinellida,TRUE,broad_host,Hexactinellida,,medium,class-level sponge label
Coccorella sp.,TRUE,exact_host,Coccorella,,medium,genus-level sp label
Coleophora tesquorum,TRUE,exact_host,Coleophora tesquorum,,medium,insect species
comb pen shell,TRUE,broad_host,Bivalvia,,medium,broad bivalve label
Concentrated platelets mixture,FALSE,non_host_source,,,,blood product
Concentrated platelets mixture -Preservative solution,FALSE,non_host_source,,,,blood product
Concentrated platelets mixture-Preservative solution,FALSE,non_host_source,,,,blood product
Contoneaster amiguus,TRUE,exact_host,Cotoneaster ambiguus,,medium,spelling normalized
Corbicula aurea,TRUE,exact_host,Corbicula aurea,,medium,bivalve species
Costelytra giveni,TRUE,exact_host,Costelytra giveni,,medium,insect species
Crambe sp.,TRUE,exact_host,Crambe,,medium,genus-level sp label
Crape Myrtle,TRUE,exact_host,Lagerstroemia,,medium,common name mapped to genus
Crategus cuneata,TRUE,exact_host,Crataegus cuneata,,medium,spelling normalized
Craugastor taurus,TRUE,exact_host,Craugastor taurus,,medium,amphibian species
Crella incrustans levis,TRUE,exact_host,Crella incrustans,,medium,variety suffix removed
Ctenophthalmus orientalis,TRUE,exact_host,Ctenophthalmus orientalis,,medium,flea species
Ctenophthalmus teres,TRUE,exact_host,Ctenophthalmus teres,,medium,flea species
culturing pond,FALSE,non_host_source,,,,environment location
Cyanobacterium Lyngbya cf. aestuarii,TRUE,broad_host,Lyngbya,,medium,genus-level microbial host candidate
Damaliscus pygargus phillips,TRUE,exact_host,Damaliscus pygargus,,medium,suffix removed
Dasytastes bicolor,TRUE,exact_host,Dasytastes bicolor,,medium,submitted taxonomy candidate
Dasytastes sp. 01,TRUE,exact_host,Dasytastes,,medium,suffix removed
Dasytastes sp. 02,TRUE,exact_host,Dasytastes,,medium,suffix removed
Decaying wood,FALSE,non_host_source,,,,substrate material
Departamento de Engenharia de Bioprocessos e Biotecnologia UFPR,FALSE,non_host_source,,,,institution
Desmodium pulchellum,TRUE,exact_host,Desmodium pulchellum,,medium,plant species
Desmonium incanum,TRUE,exact_host,Desmodium incanum,,medium,spelling normalized
Diaphorina citri Kuwayama,TRUE,exact_host,Diaphorina citri,,medium,authority removed
Dictyonema sp. 2651,TRUE,exact_host,Dictyonema,,medium,sample suffix removed
Dictyonema sp. 3644,TRUE,exact_host,Dictyonema,,medium,sample suffix removed
Dictyonema sp. 3668,TRUE,exact_host,Dictyonema,,medium,sample suffix removed
Dirofilaria (Dirofilaria) immitis,TRUE,exact_host,Dirofilaria immitis,,medium,subgenus removed
diseased yellow croaker,TRUE,exact_host,Larimichthys crocea,,medium,disease descriptor removed
Dune Marsh Elder Iva imbricata,TRUE,exact_host,Iva imbricata,,medium,common prefix removed
eastern boxelder,TRUE,exact_host,Acer negundo,,medium,common name normalized
Echinochloa crusgalli (L.) Beauv.,TRUE,exact_host,Echinochloa crus-galli,,medium,authority removed and spelling normalized
Empoasca mexicana,TRUE,exact_host,Empoasca mexicana,,medium,insect species
Enarsia hispida,TRUE,exact_host,Encarsia hispida,,medium,spelling normalized
Epalzeothynchos frenatum,TRUE,exact_host,Epalzeorhynchos frenatum,,medium,spelling normalized
Ephestia (Aphomia) qularis,TRUE,exact_host,Aphomia gularis,,medium,subgenus and spelling normalized
Ephistia cautella,TRUE,exact_host,Ephestia cautella,,medium,spelling normalized
european roe,TRUE,exact_host,Capreolus capreolus,,medium,common name normalized
fermented foods Jiaosu,FALSE,non_host_source,,,,food product
ferr living,FALSE,ignore,,,,uninterpretable text
flumen aquae,FALSE,non_host_source,,,,water environment descriptor
Focha andina,TRUE,exact_host,Fulica ardesiaca,,medium,Spanish common name normalized
forage rape,TRUE,exact_host,Brassica napus,,medium,crop common name
Fritillariae Cirrhosae,TRUE,exact_host,Fritillaria cirrhosa,,medium,medicinal plant label
Giant seaperch,TRUE,exact_host,Lates calcarifer,,medium,common name normalized
Goniopora fruticosa,TRUE,exact_host,Goniopora fruticosa,,medium,coral species
Greek oregano,TRUE,exact_host,Origanum vulgare,,medium,common name normalized
green alga,FALSE,ignore,,,,broad algae context without controlled taxonomy
green eggplant,TRUE,exact_host,Solanum melongena,,medium,cultivar label normalized
Green spruce,TRUE,broad_host,Picea,,medium,broad common name mapped to genus
Guang Chen Pi,TRUE,exact_host,Citrus reticulata,,medium,medicinal label normalized
Guar pulse,TRUE,exact_host,Cyamopsis tetragonoloba,,medium,crop label normalized
Guinea multimammate,TRUE,broad_host,Mastomys,,medium,common name mapped to genus
Haliclona cribricutis,TRUE,exact_host,Haliclona cribricutis,,medium,sponge species
Haliclona perlucida,TRUE,exact_host,Haliclona perlucida,,medium,sponge species
Hamacantha esperioides,TRUE,exact_host,Hamacantha esperioides,,medium,sponge species
Helconica sp.,TRUE,exact_host,Helconica,,medium,genus-level sp label
Heterostera chilensis,TRUE,exact_host,Heterostera chilensis,,medium,submitted taxonomy candidate
Hipocampus ingens (seahorse),TRUE,exact_host,Hippocampus ingens,,medium,spelling normalized
Howardula sp.,TRUE,exact_host,Howardula,,medium,genus-level sp label
Ipomea obscura,TRUE,exact_host,Ipomoea obscura,,medium,spelling normalized
Iris sp.,TRUE,exact_host,Iris,,medium,genus-level sp label
Isolated from cauliflower,TRUE,exact_host,Brassica oleracea,,medium,source phrase normalized
Ixodes aulacodi str. Akure,TRUE,exact_host,Ixodes aulacodi,,medium,strain suffix removed
Ixodes frontalis str. Montpellier,TRUE,exact_host,Ixodes frontalis,,medium,strain suffix removed
Ixodes ricinus str. Naples,TRUE,exact_host,Ixodes ricinus,,medium,strain suffix removed
Ixodes ricinus str. Viterbo,TRUE,exact_host,Ixodes ricinus,,medium,strain suffix removed
Ixodes stilesi collected from Oligoryzomys longicaudatus,TRUE,exact_host,Ixodes stilesi,,medium,collection text removed
Jason Stajich,FALSE,non_host_source,,,,person name
