raw_host,final_is_approved,rule_type,final_host,final_taxid,final_confidence,reviewer_note
B. oleracea var. sabauda,TRUE,exact_host,Brassica oleracea,,medium,Abbreviated crop resolved
Barberry,TRUE,broad_host,Berberis,,medium,Common plant genus
Berseem,TRUE,exact_host,Trifolium alexandrinum,,medium,Berseem clover
Birch,TRUE,broad_host,Betula,,medium,Common tree genus
Bluefox,TRUE,exact_host,Vulpes lagopus,,medium,Arctic fox common name
boxwood,TRUE,broad_host,Buxus,,medium,Common plant genus
brolier,TRUE,exact_host,Gallus gallus,9031,medium,Typo reviewed broiler
bromeliads,TRUE,broad_host,Bromeliaceae,,medium,Common plant family
BSFL,TRUE,exact_host,Hermetia illucens,,medium,Black soldier fly larvae
budworm,TRUE,broad_host,Lepidoptera,,low,Ambiguous larva mapped to order
C. elegans,TRUE,exact_host,Caenorhabditis elegans,6239,high,Standard abbreviation
C57BL/6J,TRUE,exact_host,Mus musculus,10090,high,Laboratory mouse strain
cage-cultured red drum,TRUE,exact_host,Sciaenops ocellatus,,medium,Culture descriptor removed
casava,TRUE,broad_host,Manihot esculenta,,medium,Typo reviewed cassava
CBA,TRUE,exact_host,Mus musculus,10090,medium,Mouse strain
cetacean,TRUE,broad_host,Cetacea,,medium,Broad mammal clade
chestnut,TRUE,broad_host,Castanea,,medium,Common tree genus
chiehqua,TRUE,broad_host,Benincasa hispida,,medium,Common vegetable
Chili,TRUE,broad_host,Capsicum,,medium,Common crop genus
Cichlid,TRUE,broad_host,Cichlidae,,medium,Common fish family
ciliate,TRUE,broad_host,Ciliophora,,medium,Broad protozoan clade
Cobia,TRUE,exact_host,Rachycentron canadum,,medium,Common fish name
cockatoo,TRUE,broad_host,Cacatuidae,,medium,Common bird family
codonopsis,TRUE,exact_host,Codonopsis,,high,Valid plant genus
Coleus,TRUE,broad_host,Coleus,,medium,Common plant genus
Cottonwood,TRUE,broad_host,Populus,,medium,Common tree genus
Crypticerya_multicicatrices,FALSE,ignore,,,,NCBI taxonomy has no supported exact mapping
Cucurbit,TRUE,broad_host,Cucurbitaceae,,medium,Common crop family
D. daghestanicus,FALSE,ignore,,,,NCBI taxonomy has no supported exact mapping
D. dagistanicus,FALSE,ignore,,,,NCBI taxonomy has no supported exact mapping
dhalia,TRUE,broad_host,Dahlia,,medium,Typo reviewed dahlia
Dirinaria,TRUE,exact_host,Dirinaria,,medium,Valid lichen genus
doe,TRUE,broad_host,Cervidae,,low,Female deer mapped to family
Dragonfruit,TRUE,broad_host,Selenicereus,,medium,Common crop genus
egret,TRUE,broad_host,Ardeidae,,medium,Common bird family
Encephalarto,TRUE,broad_host,Encephalartos,,medium,Typo reviewed cycad genus
Fetuca,TRUE,broad_host,Festuca,,medium,Typo reviewed plant genus
fig,TRUE,broad_host,Ficus,,medium,Common plant genus
fulmars,TRUE,broad_host,Fulmarus,,medium,Common seabird genus
gander,TRUE,broad_host,Anser,,medium,Male goose mapped to genus
Gans,TRUE,broad_host,Anser,,medium,Goose common name
Geophilidae_myriapod,TRUE,exact_host,Geophilidae,,medium,Family label normalized
gingsen,TRUE,broad_host,Panax,,medium,Typo reviewed ginseng
gosling,TRUE,broad_host,Anser,,medium,Young goose mapped to genus
GROUNDNUT,TRUE,exact_host,Arachis hypogaea,,medium,Peanut common name
GuineaPig,TRUE,exact_host,Cavia porcellus,10141,high,Guinea pig common name
H. concina,TRUE,exact_host,Haemaphysalis concinna,,medium,Reviewer resolved tick
H. Concina,TRUE,exact_host,Haemaphysalis concinna,,medium,Case variant
Haemophisalus,TRUE,broad_host,Haemaphysalis,,medium,Typo reviewed tick genus
Hibiscus,TRUE,exact_host,Hibiscus,,high,Valid plant genus
hime-yuzuriha,TRUE,broad_host,Daphniphyllum,,low,Japanese common plant name
Hippocampus,TRUE,exact_host,Hippocampus,,high,Valid seahorse genus
Holothurian,TRUE,broad_host,Holothuroidea,,medium,Sea cucumber class
Honeysuckle,TRUE,broad_host,Lonicera,,medium,Common plant genus
honeysuckle,TRUE,broad_host,Lonicera,,medium,Common plant genus
hyacynth,TRUE,broad_host,Hyacinthus,,medium,Typo reviewed hyacinth
I. ricinus,TRUE,exact_host,Ixodes ricinus,,high,Standard tick abbreviation
ivy,TRUE,broad_host,Hedera,,medium,Common plant genus
jujube,TRUE,broad_host,Ziziphus,,medium,Common plant genus
Kestrel,TRUE,broad_host,Falco,,medium,Common raptor genus
Lampropeltis,TRUE,exact_host,Lampropeltis,,high,Valid snake genus
Leiodermatium,TRUE,exact_host,Leiodermatium,,medium,Valid sponge genus
Lemna,TRUE,exact_host,Lemna,,high,Valid duckweed genus
Lemuroidea,TRUE,broad_host,Lemuriformes,376915,medium,NCBI-supported lemur clade
lichens,FALSE,ignore,,,,Preserve lichen context without false taxonomy
longicorn,TRUE,broad_host,Cerambycidae,,medium,Longhorn beetle family
Maple,TRUE,broad_host,Acer,,medium,Common tree genus
Marten,TRUE,broad_host,Martes,,medium,Common mammal genus
marter,TRUE,broad_host,Martes,,medium,Typo reviewed marten
Microcerotermes,TRUE,exact_host,Microcerotermes,,high,Valid termite genus
Micromys,TRUE,exact_host,Micromys,,high,Valid rodent genus
millet,TRUE,broad_host,Poaceae,,low,Ambiguous crop mapped to family
Minipig,TRUE,exact_host,Sus scrofa,9823,medium,Domestic pig
Monkeys,TRUE,broad_host,Simiiformes,,medium,Broad monkey clade
Mullberry,TRUE,broad_host,Morus,,medium,Typo reviewed mulberry
Muntiacus,TRUE,exact_host,Muntiacus,,high,Valid muntjac genus
mustard,TRUE,broad_host,Brassicaceae,,medium,Common crop family
O. sativa,TRUE,exact_host,Oryza sativa,,high,Standard crop abbreviation
Olive,TRUE,broad_host,Olea europaea,,medium,Common crop
olive,TRUE,broad_host,Olea europaea,,medium,Common crop
Orchid,TRUE,broad_host,Orchidaceae,,medium,Common plant family
Clinic,FALSE,non_host_source,,,,Clinical or source descriptor
ESP174,FALSE,ignore,,,,Opaque sample or strain code
lampine,FALSE,ignore,,,,Unresolved unsafe value
Dillman,FALSE,ignore,,,,Person location or institution-like value
ESP161,FALSE,ignore,,,,Opaque sample or strain code
F11005,FALSE,ignore,,,,Opaque sample or strain code
B. minor,FALSE,ignore,,,,Unsafe abbreviated species
kiwi,FALSE,ignore,,,,Ambiguous fruit or bird
N. haleakala,FALSE,ignore,,,,Unsafe abbreviated species
N. kanawao,FALSE,ignore,,,,Unsafe abbreviated species
N. makaihe,FALSE,ignore,,,,Unsafe abbreviated species
N. ogradyi,FALSE,ignore,,,,Unsafe abbreviated species
N. ponapona,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 126,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 15,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 17,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 21,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 23,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 242,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 246,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 281,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 29,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 295,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 302,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 48,FALSE,ignore,,,,Unsafe abbreviated species
N. sp. 58,FALSE,ignore,,,,Unsafe abbreviated species
Pieris,FALSE,ignore,,,,Homonymous or ambiguous
rhodolith,FALSE,non_host_source,,,,Environmental substrate descriptor
wangyaru,FALSE,ignore,,,,Unresolved value
Yunnan,FALSE,non_host_source,,,,Geographic location
16S52,FALSE,ignore,,,,Opaque sample code
16S67,FALSE,ignore,,,,Opaque sample code
16S90,FALSE,ignore,,,,Opaque sample code
A. swainsoni,FALSE,ignore,,,,Unsafe abbreviated species
bath1a,FALSE,ignore,,,,Opaque sample code
bath1b,FALSE,ignore,,,,Opaque sample code
Bedding,FALSE,non_host_source,,,,Source material
"Biochemistry, Chemistry Study Program, Faculty Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.",FALSE,non_host_source,,,,Institution or address
BREEDER,FALSE,non_host_source,,,,Production descriptor
capricorn,FALSE,ignore,,,,Ambiguous descriptor
Carrageenan,FALSE,non_host_source,,,,Material not host
Comscasia,FALSE,ignore,,,,Unresolved value
CSIR-IHBT,FALSE,non_host_source,,,,Institution name
Danica,FALSE,ignore,,,,Unsafe fragment
Duli,FALSE,ignore,,,,Unresolved value
Enveronmental,FALSE,non_host_source,,,,Environmental descriptor
F12Indl,FALSE,ignore,,,,Opaque code
F20043,FALSE,ignore,,,,Opaque code
F20093,FALSE,ignore,,,,Opaque code
F21Forl,FALSE,ignore,,,,Opaque code
F34Frhd,FALSE,ignore,,,,Opaque code
F34Tong,FALSE,ignore,,,,Opaque code
F66009,FALSE,ignore,,,,Opaque code
frass,FALSE,non_host_source,,,,Insect fecal material
Fungi2_78,FALSE,ignore,,,,Sample group code
Fungi2_8,FALSE,ignore,,,,Sample group code
Fungi2_81,FALSE,ignore,,,,Sample group code
Fungi2_90,FALSE,ignore,,,,Sample group code
Fungi2_98,FALSE,ignore,,,,Sample group code
Fungi3,FALSE,ignore,,,,Sample group code
Fungi63,FALSE,ignore,,,,Sample group code
Lampine,FALSE,ignore,,,,Unresolved unsafe value
Landolita,FALSE,ignore,,,,Unresolved value
LM-UGent,FALSE,non_host_source,,,,Institution code
M21Kner,FALSE,ignore,,,,Opaque code
M22Ewxr,FALSE,ignore,,,,Opaque code
M32Plmr,FALSE,ignore,,,,Opaque code
M41Glns,FALSE,ignore,,,,Opaque code
M422A2,FALSE,ignore,,,,Opaque code
M43Fcsw,FALSE,ignore,,,,Opaque code
M43Plmr,FALSE,ignore,,,,Opaque code
M64Tong,FALSE,ignore,,,,Opaque code
"MBT, Institute of Biology Leiden, Universiteit Leiden",FALSE,non_host_source,,,,Institution name
"Microbiology, MGS University, Bikaner",FALSE,non_host_source,,,,Institution name
missinhg,FALSE,missing,,,,Typo reviewed missing value
N. montium,FALSE,ignore,,,,Unsafe abbreviated species
nature,FALSE,non_host_source,,,,Vague source descriptor
Neonates,FALSE,non_host_source,,,,Age or clinical descriptor
Noli,FALSE,ignore,,,,Unresolved value
O. stricta,FALSE,ignore,,,,Unsafe abbreviated species
