assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail
GCA_000185925.2	SAMN02469497	Paracoccus sp. TRP	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_000188155.3	SAMN02256392	Methylocystis sp. ATCC 49242	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater/sewage treatment plant	existing_different	existing_different
GCA_000195295.1	SAMN00713603	Desulfobacca acetoxidans DSM 11109	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=agricultural/food-production water	existing_different	existing_different
GCA_000196675.2	SAMN00713596	Pseudonocardia dioxanivorans CB1190	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000204645.1	SAMN00713606	Alicycliphilus denitrificans K601	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000212735.1	SAMN00713614	Haliscomenobacter hydrossis DSM 1100	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000212735.1	SAMN00713614	Haliscomenobacter hydrossis DSM 1100	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000213235.1	SAMN00713617	Tepidanaerobacter acetatoxydans Re1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000214335.2	SAMN02470047	Sphingomonas sp. KC8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_000214395.1	SAMN00713625	Delftia sp. Cs1-4	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000226255.2	SAMN02471586	Desulfovibrio sp. A2	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000237085.1	SAMN02261428	Acetivibrio clariflavus DSM 19732	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000237825.1	SAMN02261421	Thermanaerovibrio velox DSM 12556	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000240225.2	SAMN02391504	Patulibacter medicamentivorans	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_000263795.2	SAMN02471431	Hydrogenophaga sp. PBC	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000264665.2	SAMN02603188	Pseudomonas putida ND6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000266925.1	SAMN02261375	Acetomicrobium mobile DSM 13181	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000266945.1	SAMN02232013	Desulfomonile tiedjei DSM 6799	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000272025.2	SAMN02471424	Imbroritus primus	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000277525.1	SAMN02470887	Sphingobium xenophagum QYY	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000282955.1	SAMN02469872	Stutzerimonas stutzeri T13	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000282955.1	SAMN02469872	Stutzerimonas stutzeri T13	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000282975.1	SAMN02469873	Pseudomonas psychrophila HA-4	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000282975.1	SAMN02469873	Pseudomonas psychrophila HA-4	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000282995.1	SAMN02470048	Melaminivora alkalimesophila	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000294445.2	SAMN02471870	Pseudomonas putida LS46	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000299415.1	SAMN01730125	Candidatus Neomicrothrix parvicella Bio17-1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=agricultural/food-production water	existing_different	existing_different
GCA_000307775.2	SAMN02470828	Stutzerimonas stutzeri KOS6	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000309525.1	SAMN02472126	Bacillus sp. WBUNB001	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000310125.2	SAMN02470722	Thauera sp. 27	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000310145.2	SAMN02470719	Thauera sp. 28	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000310165.2	SAMN02470720	Thauera sp. 63	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000313875.1	SAMN02470625	Alcaligenes sp. HPC1271	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000313955.2	SAMN02471427	Lysinibacillus fusiformis ZB2	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000315095.1	SAMN02981447	Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000319735.1	SAMN02472121	Bacillus sp. WBUNB009	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000319775.1	SAMN02471173	Cupriavidus sp. HMR-1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_000334915.1	SAMN02470943	Dyella ginsengisoli LA-4	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_000365325.1	SAMN02441408	Fidelibacterota bacterium JGI 0000059-L03	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000367825.1	SAMN02391501	Pseudomonas putida TRO1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000367825.1	SAMN02391501	Pseudomonas putida TRO1	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368145.1	SAMN01828179	Acinetobacter guillouiae CIP 63.46	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368565.1	SAMN01087849	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368565.1	SAMN01087849	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368665.1	SAMN01087850	Acinetobacter junii CIP 107470 = MTCC 11364	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368665.1	SAMN01087850	Acinetobacter junii CIP 107470 = MTCC 11364	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368685.1	SAMN01087846	Acinetobacter baylyi DSM 14961 = CIP 107474	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368685.1	SAMN01087846	Acinetobacter baylyi DSM 14961 = CIP 107474	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368785.1	SAMN01087853	Acinetobacter towneri DSM 14962 = CIP 107472	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368785.1	SAMN01087853	Acinetobacter towneri DSM 14962 = CIP 107472	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368865.1	SAMN01087847	Acinetobacter bouvetii DSM 14964 = CIP 107468	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368865.1	SAMN01087847	Acinetobacter bouvetii DSM 14964 = CIP 107468	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000368985.1	SAMN01087843	Acinetobacter beijerinckii ANC 3835	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000371385.1	SAMN02391502	Sphingopyxis sp. MC1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000371385.1	SAMN02391502	Sphingopyxis sp. MC1	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000371925.1	SAMN02256490	Thiolinea disciformis DSM 14473	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000371925.1	SAMN02256490	Thiolinea disciformis DSM 14473	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000372245.1	SAMN02256506	Corynebacterium doosanense CAU 212 = DSM 45436	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000372245.1	SAMN02256506	Corynebacterium doosanense CAU 212 = DSM 45436	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000373265.1	SAMN02441712	Pontibacter roseus DSM 17521	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000373725.1	SAMN02441705	Acinetobacter bouvetii DSM 14964 = CIP 107468	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000374145.1	SAMN02441696	Neomegalonema perideroedes DSM 15528	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000374425.1	SAMN02440441	Acinetobacter tjernbergiae DSM 14971 = CIP 107465	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000375445.1	SAMN02441732	Novosphingobium nitrogenifigens DSM 19370	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000376285.1	SAMN02441391	Clostridioides difficile ATCC 9689 = DSM 1296	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000376385.1	SAMN02440407	Desulfurispora thermophila DSM 16022	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000378005.1	SAMN02440465	Coprothermobacter platensis DSM 11748	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380185.1	SAMN02256434	Thiofilum flexile DSM 14609	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380185.1	SAMN02256434	Thiofilum flexile DSM 14609	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380505.1	SAMN02441386	Kaistia granuli DSM 23481	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380745.1	SAMN02441046	Cloacimonetes bacterium JGI 0000039-A21	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380765.1	SAMN02440422	Cloacimonetes bacterium JGI 0000039-G13	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380785.1	SAMN02441727	Hydrogenedentes bacterium JGI 0000039-J10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380805.1	SAMN02441728	Cloacimonetes bacterium JGI 0000039-P09	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000380985.1	SAMN02440983	Proteiniphilum acetatigenes DSM 18083	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000386005.1	SAMN02472123	Acinetobacter sp. MDS7A	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000387985.1	SAMN02472122	Staphylococcus sp. MDS7B	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000388005.1	SAMN02472124	Aeromonas sp. MDS8	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sludge	existing_different	existing_different
GCA_000398445.1	SAMN02440949	Atribacteria bacterium JGI 0000059-I14	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398605.1	SAMN02440952	WS1 bacterium JGI 0000059-K21	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398645.1	SAMN02441279	Cloacimonetes bacterium JGI 0000039-I17	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398665.1	SAMN02440953	Cloacimonetes bacterium JGI 0000039-M09	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398685.1	SAMN02441612	Cloacimonetes bacterium JGI 0000059-F17	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398705.1	SAMN02441280	Cloacimonetes bacterium JGI 0000059-L07	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398725.1	SAMN02440938	Cloacimonetes bacterium JGI 0000059-P03	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000398745.1	SAMN02440939	Cloacimonetes bacterium JGI 0000059-P11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000400735.1	SAMN01087852	Acinetobacter tandoii DSM 14970 = CIP 107469	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000400735.1	SAMN01087852	Acinetobacter tandoii DSM 14970 = CIP 107469	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000402135.1	SAMN02441404	Fidelibacterota bacterium JGI 0000059-D20	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000402155.1	SAMN02440396	Fidelibacterota bacterium JGI 0000059-E23	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000402275.1	SAMN02441401	Hydrogenedentes bacterium JGI 0000059-N10	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000402575.1	SAMN02440395	Caldiserica bacterium JGI 0000059-M03	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000403015.1	SAMN02441063	Fidelibacterota bacterium JGI 0000039-E15	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000403095.1	SAMN02440399	Fidelibacterota bacterium JGI 0000039-O11	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000405265.1	SAMN02441601	Fidelibacterota bacterium JGI 0000039-D08	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000412635.1	SAMN02470046	Sphingobium bisphenolivorans	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=activated sludge	existing_different	existing_different
GCA_000416345.1	SAMN02471578	Stutzerimonas stutzeri B1SMN1	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000421185.1	SAMN02441240	Ornithinimicrobium pekingense DSM 21552	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000421185.1	SAMN02441240	Ornithinimicrobium pekingense DSM 21552	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000421685.1	SAMN02440587	Bifidobacterium minimum DSM 20102	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000421765.1	SAMN02440589	Denitrificimonas caeni DSM 24390	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000421825.1	SAMN02440591	Humibacter albus DSM 18994	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater/sewage treatment plant	existing_different	existing_different
GCA_000422405.1	SAMN02440801	Microbacterium luticocti DSM 19459	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000422565.1	SAMN02440804	Desulfovibrio aminophilus DSM 12254	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000422885.1	SAMN02441165	Ottowia thiooxydans DSM 14619	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000422885.1	SAMN02441165	Ottowia thiooxydans DSM 14619	SC1-ENV-LOCAL-ACTIVATED-SLUDGE	Environment_Medium_SD	activated sludge	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000423085.1	SAMN02440835	Granulicoccus phenolivorans DSM 17626 = NBRC 107789 = JCM 15570	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000423865.1	SAMN02440662	Thermodesulfovibrio thiophilus DSM 17215	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000424685.1	SAMN02441148	Methylococcus capsulatus str. Texas = ATCC 19069	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000425465.1	SAMN02440630	Flavobacterium filum DSM 17961	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000425565.1	SAMN02440862	Tepidiphilus margaritifer DSM 15129	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000426405.1	SAMN02440843	Bifidobacterium subtile DSM 20096	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=sewage	existing_different	existing_different
GCA_000426425.1	SAMN02441522	Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000426465.1	SAMN02441523	Epilithonimonas caeni DSM 17710	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
GCA_000427585.1	SAMN02440595	Sinorhizobium meliloti CIAM1775	SC1-ENV-MEDIUM-MARINE	Environment_Broad_Scale_SD	marine environment	blank_or_same	existing_different=plant-associated environment	existing_different	existing_different
GCA_000427965.1	SAMN02440601	Olivibacter sitiensis DSM 17696	SC1-ENV-BROAD-WASTEWATER	Environment_Medium_SD	wastewater/sewage	blank_or_same	existing_different=wastewater	existing_different	existing_different
