synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
environmental swab,,environmental swab,environmental swab,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,environmental swab
environmental swab sponge,,environmental swab sponge,environmental swab sponge,Sample_Type_SD,environmental swab,environmental swab,clinical/host-associated material,,dictionary,high,approved,environmental swab
carcass swab,,carcass swab,carcass swab,Sample_Type_SD,carcass swab,carcass swab,clinical/host-associated material,,dictionary,high,approved,food/animal processing swab
drag swab,,drag swab,drag swab,Sample_Type_SD,drag swab,drag swab,clinical/host-associated material,,dictionary,high,needs_review,environmental/field swab; demoted duplicate conflict 2026-04-30; preferred=environmental swab
urine,,urine,urine,Sample_Type_SD,urine,urine,clinical/host-associated material,UBERON:0001088,dictionary,high,approved,sample material
blood,,blood,blood,Sample_Type_SD,blood,blood,clinical/host-associated material,UBERON:0000178,dictionary,high,approved,sample material
sputum,,sputum,sputum,Sample_Type_SD,sputum,sputum,clinical/host-associated material,UBERON:0007311,dictionary,high,approved,sample material
saliva,,saliva,saliva,Sample_Type_SD,saliva,saliva,,UBERON:0001836,dictionary,high,approved,sample material
shucked,,shucked,shucked,Sample_Type_SD,processed shellfish tissue,processed shellfish tissue,,,dictionary,high,approved,processing/source term
food,,food,food,Sample_Type_SD,food,food,food/source material,,dictionary,high,approved,BioSample-style sample/source category
meat,,meat,meat,Sample_Type_SD,meat,meat,food/source material,,dictionary,high,approved,BioSample-style sample/source category
seafood,,seafood,seafood,Sample_Type_SD,seafood,seafood,food/source material,,dictionary,high,approved,BioSample-style sample/source category
milk,,milk,milk,Sample_Type_SD,milk,milk,food/source material,,dictionary,high,approved,sample/source category
dairy milk,,dairy milk,dairy milk,Sample_Type_SD,milk,milk,food/source material,,dictionary,high,approved,synonym
Bulk Milk,,Bulk Milk,bulk milk,Sample_Type_SD,milk,milk,food/source material,,dictionary,high,approved,host-field misplaced sample/source value
Raw milk,,Raw milk,raw milk,Sample_Type_SD,milk,milk,food/source material,,dictionary,high,approved,host-field misplaced sample/source value
cows milk,,cows milk,cows milk,Sample_Type_SD,milk,milk,food/source material,,dictionary,high,approved,host-field misplaced sample/source value
fermented milk,,fermented milk,fermented milk,Sample_Type_SD,milk,milk,food/source material,,dictionary,high,approved,host-field misplaced sample/source value
Milk powder,,Milk powder,milk powder,Sample_Type_SD,milk powder,milk powder,food/source material,,dictionary,high,approved,host-field misplaced dairy product
dairy product,,dairy product,dairy product,Sample_Type_SD,dairy product,dairy product,environmental material,,dictionary,high,approved,host-field misplaced sample/source value
milk product,,milk product,milk product,Sample_Type_SD,dairy product,dairy product,environmental material,,dictionary,high,approved,host-field misplaced sample/source value
milk products,,milk products,milk products,Sample_Type_SD,dairy product,dairy product,environmental material,,dictionary,high,approved,host-field misplaced sample/source value
patient clinical,,patient clinical,patient clinical,Sample_Type_SD,patient/clinical,patient/clinical,,,dictionary,high,approved,clinical sample/source category
clinical patient,,clinical patient,clinical patient,Sample_Type_SD,patient/clinical,patient/clinical,,,dictionary,high,approved,word-order variant
mixed culture,,mixed culture,mixed culture,Sample_Type_SD,mixed culture,mixed culture,metadata descriptor / non-source,,dictionary,high,approved,culture sample/source category
mix_culture,,mix_culture,mix culture,Sample_Type_SD,mixed culture,mixed culture,metadata descriptor / non-source,,dictionary,high,approved,format variant
bacterial culture,,bacterial culture,bacterial culture,Sample_Type_SD,bacterial culture,bacterial culture,metadata descriptor / non-source,,dictionary,high,approved,culture sample/source category
bacteria culture,,bacteria culture,bacteria culture,Sample_Type_SD,culture,culture,culture,,dictionary,high,approved,synonym; batch1 culture/lab artifact routed as sample type
bacterial cell culture,,bacterial cell culture,bacterial cell culture,Sample_Type_SD,bacterial culture,bacterial culture,metadata descriptor / non-source,,dictionary,high,approved,culture sample/source category
pure culture,,pure culture,pure culture,Sample_Type_SD,culture,culture,culture,,dictionary,high,approved,single-organism culture category; batch1 culture/lab artifact routed as sample type
pure cultures of bacteria,,pure cultures of bacteria,pure cultures of bacteria,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
pure culture of bacteria,,pure culture of bacteria,pure culture of bacteria,Sample_Type_SD,culture,culture,culture,,dictionary,high,approved,single-organism culture category; batch1 culture/lab artifact routed as sample type
pure bacterial culture,,pure bacterial culture,pure bacterial culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
pure culture one microbial species,,pure culture one microbial species,pure culture one microbial species,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
Bacterial strain,,Bacterial strain,bacterial strain,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,corrected malformed controlled-category row
bacterial pure culture,,bacterial pure culture,bacterial pure culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
isolated pure culture,,isolated pure culture,isolated pure culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
pure isolate culture,,pure isolate culture,pure isolate culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
axenic culture,,axenic culture,axenic culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
monoculture,,monoculture,monoculture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
culture,,culture,culture,Sample_Type_SD,culture,culture,culture,,dictionary,high,approved,host-field misplaced broad culture term; batch1 culture/lab artifact routed as sample type
Cell culture collection,,Cell culture collection,cell culture collection,Sample_Type_SD,cell culture,cell culture,culture,,dictionary,high,approved,host-field misplaced sample/source value; batch1 cell-line artifact routed as sample type
Grown in Blood agar culture medium,,Grown in Blood agar culture medium,grown in blood agar culture medium,Sample_Type_SD,culture medium,culture medium,culture,,dictionary,high,approved,host-field misplaced culture medium; batch1 culture-medium artifact routed as sample type
Grown in chocolate agar culture medium,,Grown in chocolate agar culture medium,grown in chocolate agar culture medium,Sample_Type_SD,culture medium,culture medium,culture,,dictionary,high,approved,host-field misplaced culture medium; batch1 culture-medium artifact routed as sample type
HayFlick modified culture medium,,HayFlick modified culture medium,hayflick modified culture medium,Sample_Type_SD,culture medium,culture medium,metadata descriptor / non-source,,dictionary,high,approved,host-field misplaced culture medium
Bacterial Monoculture,,Bacterial Monoculture,bacterial monoculture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
bacterial monoisolate,,bacterial monoisolate,bacterial monoisolate,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
Monoisolate,,Monoisolate,monoisolate,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
single culture,,single culture,single culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
strain culture,,strain culture,strain culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
cultured isolate,,cultured isolate,cultured isolate,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
microbial isolate culture,,microbial isolate culture,microbial isolate culture,Sample_Type_SD,pure/single culture,pure/single culture,metadata descriptor / non-source,,dictionary,high,approved,single-organism culture category
cell culture,,cell culture,cell culture,Sample_Type_SD,cell culture,cell culture,metadata descriptor / non-source,,dictionary,high,approved,cell culture category
microbial culture,,microbial culture,microbial culture,Sample_Type_SD,microbial culture,microbial culture,metadata descriptor / non-source,,dictionary,high,approved,microbial culture category
microbe culture,,microbe culture,microbe culture,Sample_Type_SD,microbial culture,microbial culture,metadata descriptor / non-source,,dictionary,high,approved,synonym
unicyanobacterial culture,,unicyanobacterial culture,unicyanobacterial culture,Sample_Type_SD,unicyanobacterial culture,unicyanobacterial culture,metadata descriptor / non-source,,dictionary,high,approved,culture sample/source category
Leaf tissue,,Leaf tissue,leaf tissue,Sample_Type_SD,leaf tissue,leaf tissue,,,dictionary,high,approved,capitalization variant
Saline water,,Saline water,saline water,Sample_Type_SD,saline water,saline water,environmental material,,dictionary,high,approved,capitalization variant
marine sediment,,marine sediment,marine sediment,Environment_Medium_SD,marine sediment,marine sediment,environmental material,,dictionary,high,approved,environment/source category
Tidal flat sediment,,Tidal flat sediment,tidal flat sediment,Environment_Medium_SD,tidal flat sediment,tidal flat sediment,environmental material,,dictionary,high,approved,host-field misplaced environmental source
salt marsh sediment,,salt marsh sediment,salt marsh sediment,Environment_Medium_SD,salt marsh sediment,salt marsh sediment,environmental material,,dictionary,high,approved,host-field misplaced environmental source
Pond sediment,,Pond sediment,pond sediment,Environment_Medium_SD,pond sediment,pond sediment,environmental material,,dictionary,high,approved,host-field misplaced environmental source
sediment of Yellow River,,sediment of Yellow River,sediment of yellow river,Environment_Medium_SD,river sediment,river sediment,environmental material,,dictionary,high,approved,host-field misplaced environmental source
activated sludge,,activated sludge,activated sludge,Environment_Medium_SD,activated sludge,activated sludge,environmental material,,dictionary,high,approved,host-field misplaced wastewater/sludge source
sludge,,sludge,sludge,Environment_Medium_SD,sludge,sludge,environmental material,,dictionary,high,approved,host-field misplaced environmental source
aerobic activated sludge from the secondary sedimentation tank of WWTP of NB production plant,,aerobic activated sludge from the secondary sedimentation tank of WWTP of NB production plant,aerobic activated sludge from the secondary sedimentation tank of wwtp of nb production plant,Environment_Medium_SD,activated sludge,activated sludge,environmental material,,dictionary,high,approved,host-field misplaced wastewater/sludge source
estuarine water,,estuarine water,estuarine water,Environment_Medium_SD,estuarine water,estuarine water,environmental material,,dictionary,high,approved,environment/source category
Surface seawater,,Surface seawater,surface seawater,Environment_Medium_SD,seawater,seawater,environmental material,ENVO:00002149,dictionary,high,approved,host-field misplaced environmental source
Surface,,Surface,surface,Sample_Type_SD,surface,surface,,,dictionary,high,approved,host-field misplaced broad surface sample
communal hospital surface,,communal hospital surface,communal hospital surface,Sample_Type_SD,healthcare facility surface,healthcare facility surface,healthcare-associated environment,,dictionary,high,needs_review,"host-field misplaced environmental surface Facility context belongs in Isolation_Source_SD, not Sample_Type_SD."
hospital communal surface,,hospital communal surface,hospital communal surface,Sample_Type_SD,healthcare facility surface,healthcare facility surface,healthcare-associated environment,,dictionary,high,needs_review,"host-field misplaced environmental surface Facility context belongs in Isolation_Source_SD, not Sample_Type_SD."
surface within hospital,,surface within hospital,surface within hospital,Sample_Type_SD,healthcare facility surface,healthcare facility surface,healthcare-associated environment,,dictionary,high,needs_review,"host-field misplaced environmental surface Facility context belongs in Isolation_Source_SD, not Sample_Type_SD."
hosptial surface,,hosptial surface,hosptial surface,Sample_Type_SD,healthcare facility surface,healthcare facility surface,healthcare-associated environment,,dictionary,high,needs_review,"typo variant from host-field review Facility context belongs in Isolation_Source_SD, not Sample_Type_SD."
manure,,manure,manure,Sample_Type_SD,manure,manure,,,dictionary,high,approved,host-field misplaced sample/source value
livestock manure compost,,livestock manure compost,livestock manure compost,Sample_Type_SD,manure compost,manure compost,,,dictionary,high,approved,host-field misplaced agricultural source
salted seafood,,salted seafood,salted seafood,Sample_Type_SD,seafood,seafood,food/source material,,dictionary,high,approved,host-field misplaced sample/source value
gut,,gut,gut,Sample_Type_SD,gut content,gut content,feces/gut/intestinal material,,dictionary,high,approved,host-field misplaced anatomical sample
intestinal,,intestinal,intestinal,Sample_Type_SD,gut content,gut content,feces/gut/intestinal material,,dictionary,high,approved,host-field misplaced anatomical sample
Gut of Protaetia brevitarsis seulensis (larva),,Gut of Protaetia brevitarsis seulensis (larva),gut of protaetia brevitarsis seulensis larva,Sample_Type_SD,gut content,gut content,feces/gut/intestinal material,,dictionary,high,approved,host-field misplaced gut-content sample
Gut of wasp,,Gut of wasp,gut of wasp,Sample_Type_SD,gut content,gut content,feces/gut/intestinal material,,dictionary,high,approved,host-field misplaced gut-content sample
Milk thistle,,Milk thistle,milk thistle,Sample_Type_SD,plant material,plant material,,,dictionary,high,approved,host-field misplaced plant/source value
Guangdong Microbial Culture Collection Center (GDMCC),,Guangdong Microbial Culture Collection Center (GDMCC),guangdong microbial culture collection center gdmcc,Isolation_Source_SD,culture collection,culture collection,metadata descriptor / non-source,,dictionary,high,approved,host-field misplaced administrative source
Oyster Pond,,Oyster Pond,oyster pond,Environment_Medium_SD,Oyster pond,Oyster pond,,,dictionary,high,approved,capitalization normalization
Bathing seawater,,Bathing seawater,bathing seawater,Environment_Medium_SD,seawater,seawater,environmental material,ENVO:00002149,dictionary,high,approved,ChatGPT suggestion reviewed source term
groundwater,,groundwater,groundwater,Environment_Medium_SD,groundwater,groundwater,environmental material,ENVO:01001004,dictionary,high,approved,ChatGPT suggestion reviewed source term
soild,,soild,soild,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,typo variant from ChatGPT suggestion review
soil7,,soil7,soil7,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
soil11,,soil11,soil11,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
soil45,,soil45,soil45,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
soil46,,soil46,soil46,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
soil153,,soil153,soil153,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
soil186,,soil186,soil186,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
soil195,,soil195,soil195,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,soil label variant from ChatGPT suggestion review
metagenomic assembly,,metagenomic assembly,metagenomic assembly,Sample_Type_SD,metagenomic assembly,metagenomic assembly,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
raw intact chicken,,raw intact chicken,raw intact chicken,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
ground turkey,,ground turkey,ground turkey,Sample_Type_SD,turkey meat,turkey meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
comminuted chicken,,comminuted chicken,comminuted chicken,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
comminuted beef,,comminuted beef,comminuted beef,Sample_Type_SD,beef,beef,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
chicken breast,,chicken breast,chicken breast,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
soil biome [ENVO:01001044],,soil biome [ENVO:01001044],soil biome envo 01001044,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
clinical,,clinical,clinical,Sample_Type_SD,clinical sample,clinical sample,,,dictionary,high,approved,manual context recovery review 2026-04-28
river water,,river water,river water,Environment_Medium_SD,river water,river water,environmental material,,dictionary,high,approved,manual context recovery review 2026-04-28
Comminuted Turkey,,Comminuted Turkey,comminuted turkey,Sample_Type_SD,turkey meat,turkey meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
single cell,,single cell,single cell,Sample_Type_SD,single cell,single cell,,,dictionary,high,approved,manual context recovery review 2026-04-28
infant feces,,infant feces,infant feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
marine,,marine,marine,Environment_Medium_SD,marine,marine,,,dictionary,high,approved,manual context recovery review 2026-04-28
Nonintact Chicken,,Nonintact Chicken,nonintact chicken,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
single cell amplified by WGA-X; Bigelow Laboratory Dock,,single cell amplified by WGA-X; Bigelow Laboratory Dock,single cell amplified by wga x bigelow laboratory dock,Sample_Type_SD,single cell,single cell,,,dictionary,high,approved,manual context recovery review 2026-04-28
beef,,beef,beef,Sample_Type_SD,beef,beef,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
Ground Beef,,Ground Beef,ground beef,Sample_Type_SD,beef,beef,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
water sediment,,water sediment,water sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
soil metagenome,,soil metagenome,soil metagenome,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Chicken Breasts,,Chicken Breasts,chicken breasts,Sample_Type_SD,chicken meat,chicken meat,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
Coastal bare tidal sandflat sediment,,Coastal bare tidal sandflat sediment,coastal bare tidal sandflat sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
metagenome assembly,,metagenome assembly,metagenome assembly,Sample_Type_SD,metagenomic assembly,metagenomic assembly,metadata descriptor / non-source,,dictionary,high,approved,manual context recovery review 2026-04-28
water [ENVO:00002006],,water [ENVO:00002006],water envo 00002006,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28
stream sediment,,stream sediment,stream sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
dairy calf feces,,dairy calf feces,dairy calf feces,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
whole blood,,whole blood,whole blood,Sample_Type_SD,blood,blood,clinical/host-associated material,UBERON:0000178,dictionary,high,approved,manual context recovery review 2026-04-28
permafrost soil,,permafrost soil,permafrost soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Peripheral Blood,,Peripheral Blood,peripheral blood,Sample_Type_SD,blood,blood,clinical/host-associated material,UBERON:0000178,dictionary,high,approved,manual context recovery review 2026-04-28
rhizosphere soil,,rhizosphere soil,rhizosphere soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
antarctic soil,,antarctic soil,antarctic soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
soil [ENVO:00001998],,soil [ENVO:00001998],soil envo 00001998,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
water kefir,,water kefir,water kefir,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28
"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",saline water envo 00002010 including plankton envo xxxxxxxx,Environment_Medium_SD,saline/brine water,saline/brine water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28; refined generic water mapping 2026-04-30
active layer soil,,active layer soil,active layer soil,Environment_Medium_SD,soil,soil,environmental material,ENVO:00001998,dictionary,high,approved,manual context recovery review 2026-04-28
Water from Urban Wastewater,,Water from Urban Wastewater,water from urban wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
boneless beef,,boneless beef,boneless beef,Sample_Type_SD,beef,beef,food/source material,,dictionary,high,approved,manual context recovery review 2026-04-28
Urban Wastewater,,Urban Wastewater,urban wastewater,Environment_Medium_SD,wastewater,wastewater,environmental material,ENVO:00002001,dictionary,high,approved,manual context recovery review 2026-04-28
water filtration membrane,,water filtration membrane,water filtration membrane,Environment_Medium_SD,water,water,environmental material,ENVO:00002006,dictionary,high,approved,manual context recovery review 2026-04-28
feces of wild boar,,feces of wild boar,feces of wild boar,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
mangrove wetland sediment,,mangrove wetland sediment,mangrove wetland sediment,Environment_Medium_SD,sediment,sediment,environmental material,ENVO:00002007,dictionary,high,approved,manual context recovery review 2026-04-28
"Feces, Gull (Larus spp.)",,"Feces, Gull (Larus spp.)",feces gull larus spp,Sample_Type_SD,feces/stool,feces/stool,feces/gut/intestinal material,,dictionary,high,approved,manual context recovery review 2026-04-28
