count,host_original,host_sd,host_method
3,seawater metagenome,,non_host_source
3,Bird feces(Common Greenshank),,context_broad_dictionary
3,the gut of abalone,,context_broad_dictionary
3,sample from the maternity hospital,,non_host_source
3,unclassified metagenome,,non_host_source
3,gut metagenome,,non_host_source
3,paddy soil,,non_host_source
2,Grown in Blood agar culture medium,,non_host_source
2,"Food, Ground Beef",,non_host_source
2,environmental hospital surface,,non_host_source
2,Soil in chicken farm,,non_host_source
2,Water (environment),,non_host_source
2,minced meat,,non_host_source
2,Agricultural soil,,non_host_source
2,Pure culture,,non_host_source
2,Livestock manure,,context_broad_dictionary
2,Eel tank water,,context_broad_dictionary
2,salt water crab tank,,context_broad_dictionary
2,inter-root soil,,non_host_source
2,natural environment,,non_host_source
2,soil microorganism,,non_host_source
2,marine sediment,,non_host_source
2,placenta metagenome,,non_host_source
2,salt marsh sediment,,non_host_source
2,communal hospital surface,,non_host_source
2,biological soil crusts,,non_host_source
2,hospital communal surface,,non_host_source
2,Fresh water lake,,non_host_source
2,alkali-saline soil,,non_host_source
2,Sea water,,non_host_source
2,industrial wastewater,,non_host_source
1,Water in pipe,,non_host_source
1,Raw milk,,non_host_source
1,farm water,,non_host_source
1,Sewage,,non_host_source
1,Water from a lake,,non_host_source
1,red meat,,non_host_source
1,cows milk,,non_host_source
1,Red meat,,non_host_source
1,Environmental waters,,non_host_source
1,beef offal or meat,,non_host_source
1,Meat unspecified,,non_host_source
1,meat unspecified,,non_host_source
1,culture,,non_host_source
1,Plant and soil,,non_host_source
1,Bulk Milk,,non_host_source
1,waste water effluent,,non_host_source
1,intestinal,,non_host_source
1,Hospital environment,,non_host_source
1,Soil (polluted),,non_host_source
1,blood,,non_host_source
1,Pork carcass,,non_host_source
1,Grown in chocolate agar culture medium,Grown in chocolate agar culture medium,non_host_source
1,Intestinal contents of plateau pika,,context_broad_dictionary
1,rhizospheric soil of Cistus ladanifer L.,,non_host_source
1,Torreya grandis soil,,non_host_source
1,hosptial surface,,non_host_source
1,Meat (Mutton),,non_host_source
1,traditionally fermented mare's milk (koumiss),,context_broad_dictionary
1,milk,milk,non_host_source
1,faeces,faeces,non_host_source
1,vulture feces,,context_broad_dictionary
1,water purification plant,,context_broad_dictionary
1,Fresh mare's milk,,context_broad_dictionary
1,migratory birds feces,,context_broad_dictionary
1,fresh water sturgeon tank,,context_broad_dictionary
1,Inner surface of containers in a mollusc hatchery,,context_broad_dictionary
1,Kelp after surface disinfection,,context_broad_dictionary
1,"Surface wound of a diseased fine flounder, Paralichthys adspersus",,context_broad_dictionary
1,kelp tissue,,context_broad_dictionary
1,lake water,lake water,non_host_source
1,Lake water,Lake water,non_host_source
1,Water for soft-shelled turtle,,context_broad_dictionary
1,sea water,sea water,non_host_source
1,"Healthy culture Manila clam, Ruditapes philippinarum",,context_broad_dictionary
1,kelp frond surface,,context_broad_dictionary
1,Environmental surface,,non_host_source
1,Sludge,,non_host_source
1,Water Hyacinth,,non_host_source
1,Soil Kebili,,non_host_source
1,mangrove soil,,non_host_source
1,Soil in tiger area of zoo,,non_host_source
1,Zoo anteater area soil,,non_host_source
1,Saline Water,,non_host_source
1,forest soil,,non_host_source
1,surface within hospital,,non_host_source
1,Soil Gabes,,non_host_source
1,milk,,non_host_source
1,fermented milk,,non_host_source
1,sow feces,,non_host_source
1,Food sample,,non_host_source
1,"College of Food Science, Nanchang University",,non_host_source
1,Food Crop,,non_host_source
1,Gut of Protaetia brevitarsis seulensis (larva),,non_host_source
1,Food Material,,non_host_source
1,aerobic activated sludge from the secondary sedimentation tank of WWTP of NB production plant,,non_host_source
1,sediment of Yellow River,,non_host_source
1,Cell culture collection,,non_host_source
1,broad-scale environmental context,,non_host_source
1,surface of hospital environment,,non_host_source
1,environmental surface,,non_host_source
1,marine water,,non_host_source
1,HayFlick modified culture medium,,non_host_source
1,Milk thistle,,non_host_source
1,Guangdong Microbial Culture Collection Center (GDMCC),Guangdong Microbial Culture Collection Center (GDMCC),non_host_source
1,ocean metagenome,,non_host_source
1,river water,,non_host_source
1,Milk product,,non_host_source
1,tidal flat sediment,,non_host_source
1,fresh water green algae,,non_host_source
1,Soil in kangaroo area of zoo,,non_host_source
1,Tidal flat sediment,,non_host_source
1,salted seafood,,non_host_source
1,Surface,,non_host_source
1,Guangdong Microbial Culture Collection Center (GDMCC),,non_host_source
1,Aquatic environment,,non_host_source
1,Pond sediment,,non_host_source
1,Hanam-si wastewater treatment,,non_host_source
1,gut,,non_host_source
1,Surface seawater,,non_host_source
