synonym,source_column,original_value,normalized_value,destination,category,proposed_value,broad_value,ontology_id,method,confidence,status,note
Soil in chicken farm,Host,Soil in chicken farm,soil in chicken farm,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
minced meat,Host,minced meat,minced meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
inter-root soil,Host,inter-root soil,inter root soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
natural environment,Host,natural environment,natural environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
soil microorganism,Host,soil microorganism,soil microorganism,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Fresh water lake,Host,Fresh water lake,fresh water lake,Environment_Medium_SD,freshwater,freshwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: freshwater source.
alkali-saline soil,Host,alkali-saline soil,alkali saline soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Water in pipe,Host,Water in pipe,water in pipe,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
Water from a lake,Host,Water from a lake,water from a lake,Environment_Medium_SD,water,water,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: water source.
red meat,Host,red meat,red meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
beef offal or meat,Host,beef offal or meat,beef offal or meat,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Meat unspecified,Host,Meat unspecified,meat unspecified,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Plant and soil,Host,Plant and soil,plant and soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
waste water effluent,Host,waste water effluent,waste water effluent,Environment_Medium_SD,wastewater,wastewater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: wastewater source.
Soil (polluted),Host,Soil (polluted),soil polluted,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
rhizospheric soil of Cistus ladanifer L.,Host,rhizospheric soil of Cistus ladanifer L.,rhizospheric soil of cistus ladanifer l,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Torreya grandis soil,Host,Torreya grandis soil,torreya grandis soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Meat (Mutton),Host,Meat (Mutton),meat mutton,Sample_Type_SD,meat product,meat product,food/meat,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: meat/food source.
Environmental surface,Host,Environmental surface,environmental surface,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Water Hyacinth,Host,Water Hyacinth,water hyacinth,Isolation_Source_SD,plant-associated material,plant-associated material,plant-associated material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: aquatic plant/source material.
Soil Kebili,Host,Soil Kebili,soil kebili,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Soil in tiger area of zoo,Host,Soil in tiger area of zoo,soil in tiger area of zoo,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Zoo anteater area soil,Host,Zoo anteater area soil,zoo anteater area soil,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Soil Gabes,Host,Soil Gabes,soil gabes,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
sow feces,Host,sow feces,sow feces,Sample_Type_SD,feces/stool,feces/stool,feces/stool,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: feces/stool material.
Food Crop,Host,Food Crop,food crop,Isolation_Source_SD,food/food product,food/food product,food,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: food source.
Food Material,Host,Food Material,food material,Isolation_Source_SD,food/food product,food/food product,food,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: food source.
broad-scale environmental context,Host,broad-scale environmental context,broad scale environmental context,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
fresh water green algae,Host,fresh water green algae,fresh water green algae,Environment_Medium_SD,freshwater,freshwater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: freshwater source.
Soil in kangaroo area of zoo,Host,Soil in kangaroo area of zoo,soil in kangaroo area of zoo,Environment_Medium_SD,soil,soil,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: soil source.
Aquatic environment,Host,Aquatic environment,aquatic environment,Isolation_Source_SD,environmental material,environmental material,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: environment/source context.
Hanam-si wastewater treatment,Host,Hanam-si wastewater treatment,hanam si wastewater treatment,Environment_Medium_SD,wastewater,wastewater,environmental material,,batch4_source_like_unmapped_routing,high,approved,Batch 4 route from non-host Host value: wastewater source.
