source_batch,raw_host,normalized_host,review_action,reviewed_host,resolved_taxid,rank,superkingdom,result,detail
reviewer_batch_20260609.csv,pumpkin,pumpkin,broad_host,Cucurbita,3660,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Q. agrifolia x Q. wislizeni,q. agrifolia x q. wislizeni,broad_host,Quercus,3511,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Sarcophagidae,sarcophagidae,exact_host,Sarcophagidae,7381,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,"""Ipomoea aquatic""",ipomoea aquatic,exact_host,Ipomoea aquatica,89636,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,'Dasytes' lineellus,dasytes lineellus,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,'Dasytes' seminudus,dasytes seminudus,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,algea,algea,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Amaranthaceae,amaranthaceae,exact_host,Amaranthaceae,3563,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Amphisylla,amphisylla,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,anatine,anatine,broad_host,Anatidae,8830,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Apoidea,apoidea,exact_host,Apoidea,34735,superfamily,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Apsterostigma,apsterostigma,exact_host,Apterostigma,34696,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,B. oleracea var. alba,b. oleracea var. alba,exact_host,Brassica oleracea,3712,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,B. oleracea var. sabauda,b. oleracea var. sabauda,exact_host,Brassica oleracea,3712,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Barberry,barberry,broad_host,Berberis,22774,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Berseem,berseem,exact_host,Trifolium alexandrinum,97006,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Birch,birch,broad_host,Betula,3504,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Bluefox,bluefox,exact_host,Vulpes lagopus,494514,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,boxwood,boxwood,broad_host,Buxus,4001,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,brolier,brolier,exact_host,Gallus gallus,9031,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,bromeliads,bromeliads,broad_host,Bromeliaceae,4613,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,BSFL,bsfl,exact_host,Hermetia illucens,343691,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,budworm,budworm,broad_host,Lepidoptera,7088,order,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,C. elegans,c. elegans,exact_host,Caenorhabditis elegans,6239,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,C57BL/6J,c57bl 6j,exact_host,Mus musculus,10090,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,cage-cultured red drum,cage cultured red drum,exact_host,Sciaenops ocellatus,76340,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,casava,casava,broad_host,Manihot esculenta,3983,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,CBA,cba,exact_host,Mus musculus,10090,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,cetacean,cetacean,broad_host,Cetacea,9721,infraorder,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,chestnut,chestnut,broad_host,Castanea,21019,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,chiehqua,chiehqua,broad_host,Benincasa hispida,102211,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Cichlid,cichlid,broad_host,Cichlidae,8113,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,ciliate,ciliate,broad_host,Ciliophora,5878,phylum,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Cobia,cobia,exact_host,Rachycentron canadum,141264,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,cockatoo,cockatoo,broad_host,Cacatuidae,35549,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,codonopsis,codonopsis,exact_host,Codonopsis,16399,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Coleus,coleus,broad_host,Coleus,587658,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Cottonwood,cottonwood,broad_host,Populus,3689,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Crypticerya_multicicatrices,crypticerya multicicatrices,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Cucurbit,cucurbit,broad_host,Cucurbitaceae,3650,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,D. daghestanicus,d. daghestanicus,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,D. dagistanicus,d. dagistanicus,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,dhalia,dhalia,broad_host,Dahlia,,,,unresolved_to_not_identifiable,duplicate
reviewer_batch_20260609.csv,Dirinaria,dirinaria,exact_host,Dirinaria,205616,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,doe,doe,broad_host,Cervidae,9850,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Dragonfruit,dragonfruit,broad_host,Selenicereus,83431,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,egret,egret,broad_host,Ardeidae,8899,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Encephalarto,encephalarto,broad_host,Encephalartos,3299,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Fetuca,fetuca,broad_host,Festuca,4605,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,fig,fig,broad_host,Ficus,,,,unresolved_to_not_identifiable,duplicate
reviewer_batch_20260609.csv,fulmars,fulmars,broad_host,Fulmarus,30454,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,gander,gander,broad_host,Anser,8842,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Gans,gans,broad_host,Anser,8842,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Geophilidae_myriapod,geophilidae myriapod,exact_host,Geophilidae,60155,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,gingsen,gingsen,broad_host,Panax,4053,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,gosling,gosling,broad_host,Anser,8842,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,GROUNDNUT,groundnut,exact_host,Arachis hypogaea,3818,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,GuineaPig,guineapig,exact_host,Cavia porcellus,10141,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,H. Concina,h. concina,exact_host,Haemaphysalis concinna,523089,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Haemophisalus,haemophisalus,broad_host,Haemaphysalis,34622,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Hibiscus,hibiscus,exact_host,Hibiscus,47605,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,hime-yuzuriha,hime yuzuriha,broad_host,Daphniphyllum,4387,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Hippocampus,hippocampus,exact_host,Hippocampus,72046,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Holothurian,holothurian,broad_host,Holothuroidea,7705,class,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,honeysuckle,honeysuckle,broad_host,Lonicera,49606,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,hyacynth,hyacynth,broad_host,Hyacinthus,82024,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,I. ricinus,i. ricinus,exact_host,Ixodes ricinus,34613,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,ivy,ivy,broad_host,Hedera,,,,unresolved_to_not_identifiable,duplicate
reviewer_batch_20260609.csv,jujube,jujube,broad_host,Ziziphus,72171,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Kestrel,kestrel,broad_host,Falco,8952,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Lampropeltis,lampropeltis,exact_host,Lampropeltis,94873,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Leiodermatium,leiodermatium,exact_host,Leiodermatium,1090547,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Lemna,lemna,exact_host,Lemna,4469,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Lemuroidea,lemuroidea,broad_host,Lemuriformes,376915,infraorder,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,lichens,lichens,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,longicorn,longicorn,broad_host,Cerambycidae,34667,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Maple,maple,broad_host,Acer,4022,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Marten,marten,broad_host,Martes,9658,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,marter,marter,broad_host,Martes,9658,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Microcerotermes,microcerotermes,exact_host,Microcerotermes,139992,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Micromys,micromys,exact_host,Micromys,13150,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,millet,millet,broad_host,Poaceae,4479,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Minipig,minipig,exact_host,Sus scrofa,9823,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Monkeys,monkeys,broad_host,Simiiformes,314293,infraorder,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Mullberry,mullberry,broad_host,Morus,,,,unresolved_to_not_identifiable,duplicate
reviewer_batch_20260609.csv,Muntiacus,muntiacus,exact_host,Muntiacus,9885,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,mustard,mustard,broad_host,Brassicaceae,3700,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,O. sativa,o. sativa,exact_host,Oryza sativa,4530,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,olive,olive,broad_host,Olea europaea,4146,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Orchid,orchid,broad_host,Orchidaceae,4747,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609.csv,Clinic,clinic,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,ESP174,esp174,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Lampine,lampine,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Dillman,dillman,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,ESP161,esp161,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F11005,f11005,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,B. minor,b. minor,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,kiwi,kiwi,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. haleakala,n. haleakala,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. kanawao,n. kanawao,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. makaihe,n. makaihe,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. ogradyi,n. ogradyi,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. ponapona,n. ponapona,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 126,n. sp. 126,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 15,n. sp. 15,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 17,n. sp. 17,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 21,n. sp. 21,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 23,n. sp. 23,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 242,n. sp. 242,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 246,n. sp. 246,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 281,n. sp. 281,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 29,n. sp. 29,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 295,n. sp. 295,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 302,n. sp. 302,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 48,n. sp. 48,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,N. sp. 58,n. sp. 58,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Pieris,pieris,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,rhodolith,rhodolith,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,wangyaru,wangyaru,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Yunnan,yunnan,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,16S52,16s52,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,16S67,16s67,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,16S90,16s90,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,A. swainsoni,a. swainsoni,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,bath1a,bath1a,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,bath1b,bath1b,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Bedding,bedding,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,"Biochemistry, Chemistry Study Program, Faculty Faculty of Mathematics and Natural Sciences, Universitas Syiah Kuala, Banda Aceh, Indonesia.",biochemistry chemistry study program faculty faculty of mathematics and natural sciences universitas syiah kuala banda aceh indonesia.,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,BREEDER,breeder,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,capricorn,capricorn,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Carrageenan,carrageenan,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,Comscasia,comscasia,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,CSIR-IHBT,csir ihbt,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,Danica,danica,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Duli,duli,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Enveronmental,enveronmental,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,F12Indl,f12indl,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F20043,f20043,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F20093,f20093,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F21Forl,f21forl,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F34Frhd,f34frhd,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F34Tong,f34tong,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,F66009,f66009,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,frass,frass,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,Fungi2_78,fungi2 78,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Fungi2_8,fungi2 8,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Fungi2_81,fungi2 81,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Fungi2_90,fungi2 90,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Fungi2_98,fungi2 98,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Fungi3,fungi3,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Fungi63,fungi63,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,Landolita,landolita,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,LM-UGent,lm ugent,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,M21Kner,m21kner,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M22Ewxr,m22ewxr,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M32Plmr,m32plmr,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M41Glns,m41glns,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M422A2,m422a2,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M43Fcsw,m43fcsw,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M43Plmr,m43plmr,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,M64Tong,m64tong,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,"MBT, Institute of Biology Leiden, Universiteit Leiden",mbt institute of biology leiden universiteit leiden,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,"Microbiology, MGS University, Bikaner",microbiology mgs university bikaner,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,missinhg,missinhg,missing,,,,,negative_duplicate,missing
reviewer_batch_20260609.csv,N. montium,n. montium,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,nature,nature,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,Neonates,neonates,non_host_source,,,,,negative_duplicate,non_host_source
reviewer_batch_20260609.csv,Noli,noli,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609.csv,O. stricta,o. stricta,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609_part2.csv,F83026,f83026,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609_part2.csv,orchids,orchids,broad_host,Orchidaceae,4747,family,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609_part2.csv,Ortrugo,ortrugo,broad_host,Vitis vinifera,29760,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609_part2.csv,ostracean,ostracean,broad_host,Crustacea,197562,clade,Eukaryota,host_synonym_updated,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609_part2.csv,ostrea,ostrea,exact_host,Ostrea,37858,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609_part2.csv,P.falciparum,p.falciparum,exact_host,Plasmodium falciparum,5833,species,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
reviewer_batch_20260609_part2.csv,P024V1,p024v1,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609_part2.csv,Padding,padding,ignore,,,,,negative_duplicate,not_identifiable
reviewer_batch_20260609_part2.csv,Palythoa,palythoa,exact_host,Palythoa,86596,genus,Eukaryota,host_synonym_duplicate,Validated non-microbial NCBI taxonomy.
