count,isolation_source_sd_broad
158,Perirectal
156,MRSA screen
156,Lyophilized powder resuscitation
156,Smear
156,corn dry-grind fuel ethanol facility
155,Left-Popliteal-Fossa
155,Coral skeleton
153,Cleanroom
152,Slaughterhouse
151,emissingophyte
150,bacteriomes
149,cloacae
148,WWTP
147,viscera
146,derived from the strain Pseudomonas aeruginosa ATCC 27853
144,egg raw whole
144,sesame seed
144,perineum
144,Norway
144,Bioreactor
144,Health Facility
143,feaces
143,mediterranean [ENVO:01000207]
143,tonsil
143,rock
142,Right-Forearm
142,Seed
141,feed
141,ileum
139,Product-Raw-Intact-Siluriformes
139,phloem
138,Ocean
137,Animal-Calf-Bob Veal
137,Room Env
136,rectal/perianal swab
136,ENVO:01001829
134,larvae
134,Peat samples collected from the inside of the SPRUCE enclosures
133,joint
133,sea ice
131,leafy green
131,itra-abdominal tract infection
130,Primary Tumor
129,mastitis
129,Input used in hydraulically fractured shales
129,France
129,Intertidal zone
129,forest ecosystem
128,Bronch
127,Feed
127,BMDM
126,sebum
126,Cryoconite
125,Forehead
124,subgingival plaque
124,clinic
123,Wild Animal
123,Leg
123,spore release from mature blade
122,Larus cachinnans
122,agricultural ecosystem [ENVO:00000077]
122,rhizoplane
121,Uncertain
121,pens
121,Liquor
121,kiwifruit
121,hepatopancreas
120,Hogs
120,Pigs
120,Spermophilus dauricus
116,Ileum
116,ETA
115,Corneal scraping
115,Indoor biome
114,yolk sac
114,Plumbing
114,L_index
113,excreta
113,Osteomyelitis
113,veterinary
112,animal by-product
112,Whole - cut in lab
112,ENVO_00005801
112,seed
112,rhizhosphere
111,grain
110,Creek
110,Anal
110,drumstick
110,caudal half
109,wet market
109,Uterus
109,clinical swab
108,organic material
108,Marmota baibacina
107,Laying hens
107,MSF-NIGER
107,L_cheek
107,Fin
106,outflow from WWTP
105,Facility 4
105,rhizoplane [ENVO_01001181]
104,Ulcer
104,doxycycline resistant derivatives of parent strain ATCC 14579
103,Anus
103,Corneal Scraping
103,intra-abdominal infection
103,Subsurface cyanoHAB grab filtered through 64 um plankton net
102,uterus
102,bronchial
102,Rice straw
101,Sinus
101,ENVO:01000020
101,L_thumb
101,R_palm
101,clean room of pharmaceutical factory
101,biomass from liquid digestate stored in the CSTR at the Surrey Biofuel Facility
101,Beach sand
100,Kathmandu
100,culture medium
100,Left-Forearm
100,Pelagic
100,pickle
99,Dam
99,hemoculture
99,sinus
99,Cropland
98,Umbilicus
98,Chin
97,dam
97,Livestock
97,Facility 3
97,Sputamentum
97,agricultural field
97,ocean
97,sourdough
96,Bovine Subiliac Lymph Nodes
96,Foot
96,inflow to WWTP
96,cornea
96,R_index
96,International Space Station during MT-2
96,Nanchang
96,Callopsylla dolabris
95,Peri-anal
95,Contact Case
94,Diseased Organ
94,parent strain Bacillus Cereus ATCC 14579 exposed to ciprofloxacin
94,Coecum
93,goose
93,cloacal sample
93,Toeweb
93,osteoarticular
93,Infection
92,ENVO:01001055
92,L_palm
92,Melanoma cell line
91,cat
91,Facility F
91,community acquired
91,Not Given
91,"Deciduous woodland, University campus"
91,Bathymodiolus septemdierum
90,Animal-Calf-Formula-fed Veal
90,mouth
90,frontal cortex
90,travertine gravel
89,pistachio
89,muscle
89,Diarrhea
89,Draining-Matting Conveyor
89,R_thumb
88,Faces
87,Yolk sac
87,Bronchial Wash
87,Supermarket
86,EPIDERMAL PADDLE
86,Endocarditis
86,decomposed grub time point 1
85,animal feed
85,Humanbody
84,liquor
84,Commercial dietary supplements
84,aborted uteroplancental unit
84,aquatic biome
83,egg raw yolk
83,Facility E
83,Klíčava reservoir
83,coastal city
83,fetilized topsoil
82,onion
82,ENVO:00000022
82,sea
82,Conjunctiva
81,Clinic
81,hide
81,medical center in Taiwan
81,Isolated clone
81,healthy adult 3C
81,kelp seedling ponds
80,peach tree
80,caeca content
80,egg
80,Embryo
80,State of Palestine: West Bank
80,ROAR
80,CIPA
80,R_cheek
80,Bed rails
79,HCW Hand
78,finished fertilizer
78,chili powder
78,internal-site swab
78,Leukemia_coli
78,bioreactor
77,sesame seed paste
77,mesenteric lymph nodes
77,Isolated Organism
77,sausage
77,Temperate broadleaf and mixed forest
77,Abattoir Ceacum
76,supermarket
76,03C Raw Product Not Ground-Trimmings
76,Litter
76,Wild boar
76,lagoon
76,jejunum
76,foot
76,Anal Gland secretions
76,hindgut
76,cell line
76,Cooling Tower
75,chick paper
75,septic tank
75,Mastitis
75,commercial kitchen
75,Healthcare worker (nasal)
75,Axilla
75,derived from the parent strain Pseudomonas aeruginosa 39648-20
74,lake
74,flour
74,flower
74,Whole polyp cell suspension GFPlow/RFPlow
73,Joint
72,crop
72,turtle
72,Glove
72,Vacuum Dustbin
71,leg
71,Pasture
71,ENVO:01001000
71,whole body
71,cell
71,grain product
71,Cognac
71,fat body
70,organs
70,"the top hill,in the forest"
69,creek
69,Inguinal
69,agriculture
69,ulcer
69,Tracheal
69,probiotic product
69,Žlutice reservoir
69,AnMBR reactor
68,coriander powder
68,powdered infant formula
67,peppercorn
67,extraintestinal site
67,ENVO:03501134
67,puddle
67,Paranasal sinus
67,Oropsylla silantiewi
66,HVS
66,Broncho-alveolar lavage
66,Sacrum
66,algae
65,raw product
65,#REF!
65,Wild Bird
65,Salami
65,ThroatNasal
65,bagged salad mixture
65,cuban sandwich
65,hydrothermal vent
64,slaughterhouse
64,Mouse embryonic cells
64,Madrid
64,ballast tank
64,Anaerobic reactor
64,forestomach
63,"""drag swabs, Gallus gallus domesticus"""
63,Lamb
63,seeds
63,femus
63,ESBA
63,abcess
63,Rotting apple
63,BK
63,O
63,mWWTPs outlet
63,Burn
63,tree bark
63,"Yiwu, Zhejiang, China"
63,CNR Borrelia - Pasteur Institute
62,salad
62,pleural effusion
62,foot ulcer
62,DTA
62,Leg infection
62,N
62,South Pacific Ocean
62,Japanese pickles
62,Archaean Domes Dome-shaped microbial mat at 0-10 cm depth
61,Ducks
61,semen
60,macadamia nut
60,horse
60,Bladder
60,Harbour / creek
60,Grassland
60,Facility 2
60,Orchard
60,e9.5 right ventricle
59,purified colonies
59,forest
59,Yolk Sac
59,screen
59,Digesta
59,agricultural biome
59,P
59,ice sheet [ENVO_00000132]
59,[ENVO_01000249]
59,Cystic Fibrosis
58,basil
58,lamb
58,WWTP inflow Grand Prado
58,Bronchial Wash (Lavage)
58,Sepsis
58,Healthcare worker (oral rinse)
58,Foremilk
58,Ifremeria nautilei
57,hulled sesame seed
57,jalapeno pepper
57,scat
57,field
57,anus
57,Caeca
57,China:Yangzhou
57,Pneumonia
57,Secreta
57,South Atlantic Ocean
56,flour/flour products
56,Lesion
56,retail store
56,standard
56,MRSA [Broth]
55,Grey seal pup; live wild
55,mWWTPs inflow
55,Silage
55,derived from the strain Pseudomonas aeruginosa 1202
55,Eastern Africa Coastal Province
55,ventilators
55,Switzerland
55,Wine
54,salami
54,flush slurry
54,Uterine
54,Exudate
54,Facility A
54,Bronchial aspiration
54,Stromatolite
53,lab
53,VDG
53,Facility 1
53,dog mouth
53,Naris
53,catheteruria
53,habitat
53,Unknow
53,axilla
53,No source bacteriemia
53,Litopenaeus vannamei
53,Microtus fuscus
53,pyropia
52,tahini sesame seed paste
52,colon content
52,INTEST_CONTENTS
52,Facility 6
52,bedside tables
52,coral
52,Digital dermatitis lesion
51,sprout
51,LBC
51,Carriage
51,bronchial alveolar lavage
51,"Huiquan Bay, Qingdao"
51,Household swabs
51,seedling
51,formation fluids from subseafloor aquifer collected in 2012 through 2014
51,Dermacentor nuttalli
50,infraorbital sinuses
50,Channel catfish
50,rabbit
50,Chick Paper
50,cabbage
50,Troups Creek Wetland
50,eces
50,Baby Wipes
50,bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles
49,parsley
49,Lab
49,Surgical site
49,insect
49,Ganjang
49,Chinese sausage
49,Apple dumpster
48,frozen tilapia
48,wheat
48,Ruijin Hosiptal
48,Calf
48,Tongue
48,bronchial wash
48,Popliteal_fossa
48,sterile
48,Anorectal
48,Cooling tower
48,resected colorectal tumor
47,LIVESTOCK FEED
47,tilapia
47,fox
47,Lab generated
47,secreta
47,bronch
47,Domestic animal
47,egg salad
47,Ward
47,ENVO:00010483
47,airway
47,bacteriome
46,serrano pepper
46,pleural cavity
46,chromosome
46,Tonsil
46,Rice seed
46,"Participant hand , Facility 1000"
46,Environ
46,Northern Sea Otter
46,Cyanide and thiocyanate bioreactor
46,Chile-Peru Current Coastal Province
45,gauze pad
45,pool of organs
45,kibble
45,cormorant double crested
45,Pleural effusion
45,bos taurus
45,Semen
45,pituita
45,cell culure
45,satellite cells
45,bark on land
45,flea
45,hydrothermal plume
44,alfalfa sprouts
44,apple
44,Diarrhoea children
44,Meconium
44,Hen
44,Agaricus bisporus production chain
44,bark
44,North Atlantic Ocean
44,biocrust
43,pepper
43,Animal-Goat
43,PAR
43,teat/nipple swab
43,Centre M�dico-Chirurgical InterArm�es Dominique Mattei
43,I
43,peach
43,runoff filter
43,Catch basin
43,culture/assembly
43,Balaton lake
43,Wetland A3
43,sashimi
43,nodi lymphatici mesenterici
43,Anaerobic digestion
42,porcine
42,Catch Basin
42,Herbaceous Wetland
42,sp
42,ENVO:00002003
42,"Lavage, Bronchial"
42,endotracheal tube
42,Intra-abdominal
42,Disease
42,Infection of surgical site
42,Rectalswab
42,Raw lamb
42,Citellophilus tesquorum
42,Entryway Floor
42,Dermacentor silvarum
42,nematodes
41,bovine necropsy
41,alfalfa sprout
41,paprika
41,coriander
41,rice
41,ur
41,WW Barachois
41,dung
41,Bronchial lavage
41,sand
41,bloodculture
41,lavage
41,Kantong
40,Retail table eggs
40,frozen lobster tail
40,Wild bird
40,Mouth
40,plasma
40,mutton
40,Camel
40,ENVO:00000428
40,Scotland: Glasgow
40,kefir
40,Puncture Fluids
40,Alicante
40,North Pacific Ocean
40,Mid-Cayman Rise Vent Fluids
40,Aquatic
40,Landštejn reservoir
40,Gossenköllesee lake
40,Retinal epithelial cells
40,Partial nitritation anammox bioreactor
39,cell culuture
39,Kibera
39,Sausage
39,Celery
39,Intermediate-Care Facility
39,"wild bird, Fulica atra"
39,Neck/Axilla
39,sacrum
39,nasogastric tube
39,grassland
39,tuber
39,ventilator shelves
39,Mediterranean Sea
39,anaerobic dechlorinating bioreactor; SDC-9 consortium maintain in serum bottles and exposed to biochar pyrolyzed at different temperatures
39,Citellus undulatus
39,aerobic bioreactor [ENVO:00002123]
39,Medard lake
38,curry powder
38,egg hatchery
38,fresh basil
38,eggs
38,Turkeys
38,Bronchial
38,colostrum
38,queso fresco
38,ceaca
38,Industrial ABE fermentation
38,organic whole grain oatmeal baby cereal
38,hollow stalk
38,bottom of first year landfast sea ice
37,Campania
37,whole egg
37,embryo
37,Animal feed
37,punctate
37,oviduct
37,Bovine carcasse
37,saline lake
37,Cystic fibrosis attention center
37,cystic fibrosis
37,ECG monitors
37,Traditional komiss
37,Bioreactor (Turbidostat)
37,Pasta
37,Cortex
37,Opened Powdered Infant Formula
37,Odocoileus virginianus
36,egg yolk
36,finished product
36,organ
36,ham
36,Hip
36,periphyton
36,Tips
36,Digestive tract
36,Wild Boar
36,Retail Breast
36,seaweed
36,biological/clinical product
36,mangrove
36,retailer
36,trout
36,silage
36,Hydrothermal Plume
36,2149
36,midgut junction
35,sesame seeds
35,mesenteric nodes
35,peritoneum
35,hydrothorax
35,decubitus
35,Incubator
35,broncho-alveolar lavage
35,Shengli oilfield at Shandong province
35,Estuarine biome [ENVO:01000020]
35,Microtus brandtii
35,bioreactors innoculated with microbial mats from alkaline soda lake
35,Epidemic materials
35,Bacteremia
34,fertilizer
34,catfish
34,alpaca
34,aborted fetus
34,raccoon
34,sepsis
34,Facility K
34,carrot
34,Tilapia
34,Bull prepuce
34,Endotracheal tube
34,Faucet
34,subsurface aquifer
34,Vitamin B2 feed additive
34,Honey
34,cave
34,Powdered Infant Formula
34,Milada lake
34,Čertovo lake
34,Crucian Carp
34,Aquatics
33,Surfaces slaughterhouse
33,turmeric powder
33,Taiwan
33,kale
33,spice
33,ovary
33,Zoo
33,puncture
33,Mixed Parts
33,All purpose Wheat flour
33,Wooded Wetland
33,Incision
33,Knee
33,gastric juice
33,midgut
33,Atopic Dermatitis
33,tip
33,HTST Pasteurization
33,contaminant
33,Coccyx
33,microbial mat
33,BALs
33,beach
33,Subgingival plaque
33,Cryopreserved PBMC
33,Beach
32,ground
32,Carcasses
32,host-associated organism
32,Cellulitis lesion
32,layer cloacal (backyard)
32,animal infection
32,Facility 5
32,Buttocks
32,Seagull
32,plaque
32,Guttural pouch
32,bronchial secretions
32,bronchial washing
32,Rinsate
32,bronchial washings
32,"Participant hand , Facility 2000"
32,mobile device
32,Ventilator
32,salami paste production
32,rehabilitation department
32,haemolymph
32,Onion bulb
32,String method
32,toilet drainpipe
32,Most lake
32,Ixodes pacificus
31,Mashed product
31,internal organs
31,Reptile
31,live_animal
31,coyote
31,organism
31,MRV
31,Perianal
31,Facility J
31,Intraabdominal infection
31,Endotracheal
31,CVC
31,Insect
31,Punktat
31,Venous
31,bacteremia
31,Seaweed
31,desert sand
31,peaches
31,whole cell
31,Muscle
31,Footwear Sole
31,Red wine
30,pine siskin
30,house sparrow
30,alfalfa seed
30,tahini
30,guacamole
30,mushroom
30,PA
30,WWTP influent
30,ovaries
30,Digestive
30,phlegm
30,cell passaging
30,China
30,supragingival plaque isolated from 88 juvenile twins
30,Abattoir Breast
30,Chilli
30,floor-dry aisle
30,WILD BOAR
30,microbiological samples
30,boreal forest
30,salt lake
30,hypersaline soda lake brine
30,embryonic death
30,tick
30,necrobiome
30,Femoral Arterial Sheath
30,Thiocyanate ramp bioreactor
30,e9.5 right ventricular septum
30,organic whole grain oatmeal cereal
30,nasophraynx
30,The Red Sea
29,Uknown
29,herring gull
29,Unspecified Bird
29,bovine feed
29,litter
29,Animal-Calf-Non Formula-fed Veal
29,broth
29,Abdominal
29,ovis aries
29,horse equine
29,0
29,abdominal
29,mucus
29,Urin
29,Rectovaginal
29,Retail shop
29,DERBY
29,PGA
29,ENVO:00000446
29,cryoconite
29,Ammonium sulfate bioreactor
29,Rice wine Koji
29,meju
29,coal
29,Plešné lake
29,deep-sea hydrothermal vent
28,Nut
28,Tool samples
28,shipment liner from hatchery
28,cumin seed
28,Jejunum
28,Eggs
28,wild boar
28,sandwich
28,gallbladder
28,ovine
28,Ceca
28,Hemoculture
28,defecation
28,NHS Scotland
28,Screen
28,perirectal
28,Biomedical waste site
28,sold in market
28,Grey seal pup; dead wild
28,bedsheets
28,Heads
28,herring
28,phyllosphere
28,worm
28,Indian Monsoon Gyres Province
28,Northwest Arabian Sea Upwelling Province
28,3.0 m mixolimnion layer of meromictic lake
28,necrotic enteritis field case
28,opened powdered infant formula
28,organic whole grain multi-grain cereal
27,Feeds
27,serum
27,Toe
27,Genital
27,WWTP outflow Grand Prado
27,environemental
27,celery
27,Facility G
27,forest biome
27,Bronchial alveolar lavage
27,tilapia (Oreochromis sp.)
27,ULCER
27,bed rail
27,crabmeat
27,Health care
27,pellet
27,wheat sourdough
27,ENVO:01000317
27,aquatic
27,Pastries
27,tidal flat
27,Bark
27,Piburger See lake
27,Cep lake
27,Large Yellow Croaker
26,pistachio halva
26,cumin powder
26,Raisins
26,product egg raw white
26,meconium
26,oregano
26,Pericardium
26,Bos taurus
26,calf
26,Day-old chick
26,bovine barrier
26,WW Vallon-Hoarau
26,beach sand
26,Intra-abdominal infection
26,WIP
26,Left guttural pouch
26,Joints
26,BROOME
26,bronchoaspiration material
26,call button
26,nosocomial
26,white peach
26,nut butter
26,"ECG monitor, infusion pump, vaporizer and hanging tower"
26,Greenhouse
26,nebulisers
26,Spine
26,tumor
26,hillside
26,introitus
26,gastric antrum
26,metheanogenic bioreactor
26,wine
26,infected vegetal samples
26,Head ulcer
26,alpine lake
26,In situ coal
25,chia powder
25,ground cumin
25,ducks
25,diaphragm
25,Kisii
25,bladder
25,Wetland
25,Prostate
25,perianal
25,plastic
25,Right guttural pouch
25,cervical
25,ocular hordeolum
25,FITZROY CROSSING
25,wholesale market
25,UC
25,Garlic bread
25,aerobic denitrifying enrichment 32 oxic-anoxic cycles/day
25,fermentation
25,closed biodigester
